iter	RMSE
0	24.46360728
1	23.62292648
2	22.8085643
3	22.01529377
4	21.2508694
5	20.54578569
6	19.83644806
7	19.15465973
8	18.48988692
9	17.85101148
10	17.24070909
11	16.66430732
12	16.10563934
13	15.56177585
14	15.0321774
15	14.51741723
16	14.02751426
17	13.56260804
18	13.11038704
19	12.66384187
20	12.23153975
21	11.82154955
22	11.41863871
23	11.05589271
24	10.69576823
25	10.34858006
26	10.00828214
27	9.694854699
28	9.388014468
29	9.101642298
30	8.809837135
31	8.52412932
32	8.245571092
33	7.979118065
34	7.717767692
35	7.472140568
36	7.233915407
37	7.006572059
38	6.800491324
39	6.598819341
40	6.396234379
41	6.208762162
42	6.015417285
43	5.829218467
44	5.650334392
45	5.481509741
46	5.321558547
47	5.166661092
48	5.023987577
49	4.881877127
50	4.739964301
51	4.613431465
52	4.481887975
53	4.358081738
54	4.243035716
55	4.127462624
56	4.016555894
57	3.912311032
58	3.811037226
59	3.717621397
60	3.623022919
61	3.530079868
62	3.439146498
63	3.358550887
64	3.280297792
65	3.205995312
66	3.137219773
67	3.069089019
68	3.000525603
69	2.941830008
70	2.880433103
71	2.821693147
72	2.763192503
73	2.709712424
74	2.655809114
75	2.60261953
76	2.55451287
77	2.509068688
78	2.46410662
79	2.420177164
80	2.378255603
81	2.336635923
82	2.298091907
83	2.262036462
84	2.227106076
85	2.194258376
86	2.162458178
87	2.131521058
88	2.103545397
89	2.074407489
90	2.047506936
91	2.025217027
92	1.999796587
93	1.97515157
94	1.954574018
95	1.933560084
96	1.912794147
97	1.893520768
98	1.875253134
99	1.857529578
100	1.840187061
101	1.825157291
102	1.808372313
103	1.795398328
104	1.780764151
105	1.768095674
106	1.757278432
107	1.746054051
108	1.732891744
109	1.722702654
110	1.712596704
111	1.702007419
112	1.691958092
113	1.682344304
114	1.674482945
115	1.664996087
116	1.655995434
117	1.648555047
118	1.641215258
119	1.634385107
120	1.627481221
121	1.620673306
122	1.615199263
123	1.608929794
124	1.602428384
125	1.595732487
126	1.589774654
127	1.584393777
128	1.577662781
129	1.572172134
130	1.567541926
131	1.56219413
132	1.557868882
133	1.553741484
134	1.549956581
135	1.544804415
136	1.540701544
137	1.537372965
138	1.533675703
139	1.528797762
140	1.524440649
141	1.521253968
142	1.517248926
143	1.514522909
144	1.510954231
145	1.507778763
146	1.504637294
147	1.501763058
148	1.498243682
149	1.495748782
150	1.492637068
151	1.489756675
152	1.487207569
153	1.483633618
154	1.480982868
155	1.478904096
156	1.475560429
157	1.47266044
158	1.471594189
159	1.469101873
160	1.465870651
161	1.463465845
162	1.461398881
163	1.45884393
164	1.456383275
165	1.453533202
166	1.450108425
167	1.448330175
168	1.445728689
169	1.44427219
170	1.44142789
171	1.438226463
172	1.4352337
173	1.433027852
174	1.431138864
175	1.429349384
176	1.426152893
177	1.423924847
178	1.421452182
179	1.419330934
180	1.41857191
181	1.417060834
182	1.415041638
183	1.412057971
184	1.409989368
185	1.408999676
186	1.407091754
187	1.404946976
188	1.402365094
189	1.400253435
190	1.39863174
191	1.396217704
192	1.394429397
193	1.392806864
194	1.390984508
195	1.388560105
196	1.386364532
197	1.384665729
198	1.382878951
199	1.380777843
200	1.378605734
201	1.376299873
202	1.375042149
203	1.374265096
204	1.371151362
205	1.369334568
206	1.367332529
207	1.364409742
208	1.363077357
209	1.361151322
210	1.359706102
211	1.357622709
212	1.356207571
213	1.354892885
214	1.352733534
215	1.351269908
216	1.349210526
217	1.347749178
218	1.345579906
219	1.345327672
220	1.344316792
