Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,4.573500,4.696000,4.510000,4.663500,3.549864,19834470
2019-01-03,4.626000,4.739000,4.626000,4.676000,3.559379,19019827
2019-01-04,4.738500,4.878000,4.722000,4.850500,3.692209,24676124
2019-01-07,4.883500,4.893500,4.801000,4.833500,3.679268,15376663
2019-01-08,4.860000,4.923500,4.834500,4.874500,3.710477,25603840
2019-01-09,4.920000,5.027000,4.898500,4.940500,3.760717,23501867
2019-01-10,4.908000,5.005000,4.883000,4.984000,3.793829,16193913
2019-01-11,4.980000,5.049000,4.944000,5.036000,3.833412,24160526
2019-01-14,4.999000,5.016000,4.927000,4.988500,3.797256,20986389
2019-01-15,5.013000,5.069000,4.911000,4.989500,3.798016,18600378
2019-01-16,5.013000,5.110000,5.000000,5.110000,3.889741,25342179
2019-01-17,5.065000,5.110000,5.024000,5.037000,3.834173,19652507
2019-01-18,5.089000,5.200000,5.074000,5.200000,3.958249,31302793
2019-01-21,5.200000,5.210000,5.156000,5.206000,3.962816,8285333
2019-01-22,5.155000,5.178000,5.134000,5.170000,3.935413,31732897
2019-01-23,5.158000,5.265000,5.141000,5.227000,3.978801,20085898
2019-01-24,5.247000,5.270000,5.145000,5.205000,3.962055,22846541
2019-01-25,5.253000,5.309000,5.220000,5.304000,4.037414,21265203
2019-01-28,5.275000,5.331000,5.234000,5.245000,3.992503,15830273
2019-01-29,5.256000,5.281000,5.211000,5.260000,4.003922,13877927
2019-01-30,5.270000,5.299000,5.235000,5.258000,4.002398,21445792
2019-01-31,5.284000,5.293000,5.087000,5.170000,3.935413,26593989
2019-02-01,5.205000,5.261000,5.062000,5.197000,3.955966,25487453
2019-02-04,5.178000,5.222000,5.110000,5.171000,3.936174,18914727
2019-02-05,5.183000,5.230000,5.156000,5.223000,3.975756,25543242
2019-02-06,5.171000,5.245000,5.164000,5.241000,3.989459,38241211
2019-02-07,5.210000,5.235000,5.068000,5.077000,3.864621,19900996
2019-02-08,5.070000,5.116000,5.017000,5.058000,3.850158,16812897
2019-02-11,5.102000,5.174000,5.089000,5.115000,3.893547,15736127
2019-02-12,5.165000,5.209000,5.100000,5.201000,3.959011,19759675
2019-02-13,5.189000,5.216000,5.101000,5.101000,3.882890,19557997
2019-02-14,5.122000,5.125000,4.990000,5.028000,3.827322,25569651
2019-02-15,5.025000,5.218000,4.998500,5.194000,3.953681,32310361
2019-02-18,5.208000,5.259000,5.203000,5.227000,3.978801,11667295
2019-02-19,5.200000,5.248000,5.128000,5.189000,3.949877,19183939
2019-02-20,5.199000,5.251000,5.178000,5.237000,3.986413,17642761
2019-02-21,5.245000,5.256000,5.190000,5.224000,3.976518,17236530
2019-02-22,5.210000,5.280000,5.204000,5.227000,3.978801,14998080
2019-02-25,5.265000,5.289000,5.230000,5.255000,4.000115,10919299
2019-02-26,5.228000,5.255000,5.177000,5.249000,3.995548,26476277
2019-02-27,5.232000,5.385000,5.226000,5.377000,4.092981,31576822
2019-02-28,5.344000,5.492000,5.319000,5.474000,4.166818,34997795
2019-03-01,5.496000,5.510000,5.379000,5.379000,4.094504,23937193
2019-03-04,5.422000,5.450000,5.321000,5.336000,4.061772,15456296
2019-03-05,5.338000,5.390000,5.245000,5.307000,4.039698,22738005
2019-03-06,5.300000,5.426000,5.290000,5.372000,4.089176,16851126
2019-03-07,5.388000,5.437000,5.172000,5.219000,3.972712,27831516
2019-03-08,5.165000,5.190000,5.093000,5.136000,3.909533,18920786
2019-03-11,5.172000,5.225000,5.130000,5.201000,3.959011,16758755
2019-03-12,5.233000,5.246000,5.150000,5.181000,3.943787,17263372
2019-03-13,5.191000,5.299000,5.180000,5.275000,4.015339,20829975
2019-03-14,5.275000,5.342000,5.264000,5.282000,4.020668,19468758
2019-03-15,5.299000,5.382000,5.270000,5.373000,4.089936,55042005
2019-03-18,5.397000,5.472000,5.390000,5.421000,4.126474,14839483
2019-03-19,5.439000,5.550000,5.412000,5.485000,4.175191,26046144
2019-03-20,5.470000,5.490000,5.418000,5.419000,4.124952,17012143
2019-03-21,5.388000,5.408000,5.341000,5.372000,4.089176,19350587
2019-03-22,5.406000,5.411000,5.163000,5.188000,3.949115,35078880
2019-03-25,5.163000,5.264000,5.119000,5.200000,3.958249,52417513
2019-03-26,5.213000,5.228000,5.127000,5.143000,3.914861,69252444
2019-03-27,5.165000,5.284000,5.093000,5.116000,3.894308,32475664
2019-03-28,5.070000,5.094000,5.005000,5.047000,3.841785,29680329
2019-03-29,5.096000,5.123000,5.051000,5.093000,3.876800,22807436
2019-04-01,5.197000,5.337000,5.156000,5.306000,4.038936,294978529
2019-04-02,5.310000,5.381000,5.282000,5.328000,4.055682,61395406
2019-04-03,5.407000,5.446000,5.386000,5.413000,4.120385,39446117
2019-04-04,5.406000,5.507000,5.382000,5.498000,4.185087,22119823
2019-04-05,5.501000,5.535000,5.481000,5.495000,4.182804,30178133
2019-04-08,5.340000,5.372000,5.308000,5.333000,4.181235,35377285
2019-04-09,5.319000,5.415000,5.316000,5.346000,4.191428,36343154
2019-04-10,5.363000,5.382000,5.268000,5.294000,4.150658,16391259
2019-04-11,5.318000,5.409000,5.270000,5.370000,4.210244,134610094
2019-04-12,5.368000,5.522000,5.325000,5.512000,4.321577,40437151
2019-04-15,5.510000,5.568000,5.425000,5.481000,4.297272,156296983
2019-04-16,5.494000,5.546000,5.453000,5.526000,4.332553,72093656
2019-04-17,5.546000,5.679000,5.525000,5.599000,4.389788,65910881
2019-04-18,5.620000,5.633000,5.505000,5.594000,4.385867,77415490
2019-04-23,5.577000,5.589000,5.446000,5.476000,4.293352,78353226
2019-04-24,5.450000,5.504000,5.362000,5.409000,4.240821,22100004
2019-04-25,5.415000,5.422000,5.324000,5.364000,4.205540,39551318
2019-04-26,5.375000,5.391000,5.303000,5.377000,4.215733,22605828
2019-04-29,5.396000,5.434000,5.354000,5.415000,4.245526,19724333
2019-04-30,5.385000,5.418000,5.303000,5.418000,4.247878,26498664
2019-05-02,5.410000,5.469000,5.342000,5.349000,4.193779,35493815
2019-05-03,5.374000,5.407000,5.286000,5.336000,4.183587,13377010
2019-05-06,5.230000,5.298000,5.206000,5.279000,4.138897,15400333
2019-05-07,5.256000,5.265000,5.141000,5.144000,4.033053,27880429
