Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,4.997591,5.049439,4.896775,5.026395,3.784958,1693833
2019-01-03,4.990390,5.055200,4.954384,4.999031,3.764353,2975539
2019-01-04,5.033596,5.177619,5.023515,5.154576,3.881480,2396190
2019-01-07,5.151695,5.189141,5.107048,5.151695,3.879312,3698789
2019-01-08,5.148815,5.259712,5.148815,5.210744,3.923777,3464147
2019-01-09,5.242429,5.266913,5.082564,5.099847,3.840269,2600742
2019-01-10,5.076803,5.120010,5.017754,5.040798,3.795804,2777294
2019-01-11,5.029276,5.043678,4.922699,4.928460,3.711212,3487911
2019-01-14,4.918378,4.927020,4.856448,4.902536,3.691690,2593794
2019-01-15,4.932780,4.987509,4.929900,4.952944,3.729649,1986378
2019-01-16,4.984629,5.115689,4.975987,5.111369,3.848945,4452797
2019-01-17,5.069602,5.108488,5.035037,5.035037,3.791466,2212381
2019-01-18,5.094086,5.143054,5.072483,5.122891,3.857621,4257416
2019-01-21,5.108488,5.118570,5.036477,5.069602,3.817494,2556754
2019-01-22,5.026395,5.076803,4.993270,5.056640,3.807734,3766225
2019-01-23,5.029276,5.235228,5.029276,5.167538,3.891241,3358432
2019-01-24,5.289957,5.385012,5.180500,5.238109,3.944382,5572425
2019-01-25,5.331724,5.331724,5.217946,5.256832,3.958482,3793056
2019-01-28,5.213625,5.220826,5.073923,5.073923,3.820749,4114672
2019-01-29,5.084004,5.084004,5.014873,5.056640,3.807734,3190387
2019-01-30,5.056640,5.065281,4.994710,5.022075,3.781706,2534798
2019-01-31,5.027836,5.053760,4.883813,4.902536,3.691690,5152617
2019-02-01,4.899655,4.915498,4.814682,4.849247,3.651563,6074017
2019-02-04,4.833405,4.833405,4.702344,4.745551,3.573478,4744244
2019-02-05,4.754192,4.807481,4.713866,4.774355,3.595169,4285922
2019-02-06,4.752752,4.843486,4.732589,4.843486,3.647224,3111214
2019-02-07,4.804600,4.856448,4.757073,4.757073,3.582154,2819681
2019-02-08,4.745551,4.767154,4.687942,4.716746,3.551787,3113533
