Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,3.120000,3.150000,3.065000,3.129000,2.562721,12493309
2019-01-03,3.127000,3.171000,3.107000,3.127000,2.561083,9456811
2019-01-04,3.169000,3.252000,3.147000,3.247000,2.659365,11865877
2019-01-07,3.257000,3.272000,3.216000,3.266000,2.674927,9318885
2019-01-08,3.271000,3.294000,3.235000,3.272000,2.679841,14102027
2019-01-09,3.289000,3.322000,3.236000,3.246000,2.658546,15373877
2019-01-10,3.224000,3.247000,3.198000,3.223000,2.639709,11084807
2019-01-11,3.206000,3.261000,3.204000,3.249000,2.661004,18473018
2019-01-14,3.226000,3.279000,3.221000,3.262000,2.671651,9112277
2019-01-15,3.290000,3.315000,3.250000,3.305000,2.706869,10202878
2019-01-16,3.310000,3.363000,3.297000,3.361000,2.752734,22568325
2019-01-17,3.331000,3.359000,3.303000,3.313000,2.713421,17191374
2019-01-18,3.332000,3.375000,3.305000,3.305000,2.706869,21344243
2019-01-21,3.307000,3.312000,3.264000,3.289000,2.693764,9531107
2019-01-22,3.260000,3.274000,3.229000,3.249000,2.661004,18686568
2019-01-23,3.220000,3.380000,3.217000,3.374000,2.763381,14805421
2019-01-24,3.380000,3.400000,3.300000,3.312000,2.712602,16242541
2019-01-25,3.331000,3.400000,3.327000,3.400000,2.784676,12786388
2019-01-28,3.375000,3.394000,3.304000,3.328000,2.725706,11133034
2019-01-29,3.315000,3.341000,3.292000,3.312000,2.712602,15193279
2019-01-30,3.312000,3.356000,3.312000,3.356000,2.748639,16294019
2019-01-31,3.370000,3.385000,3.271000,3.298000,2.701136,21171478
2019-02-01,3.130000,3.192000,3.025000,3.060000,2.506208,59405175
2019-02-04,3.070000,3.072000,2.895000,2.921000,2.392364,50181094
2019-02-05,2.940000,2.973000,2.886000,2.936000,2.404649,24860846
2019-02-06,2.937000,2.980000,2.909000,2.940000,2.407926,26898698
2019-02-07,2.937000,2.948000,2.859000,2.886000,2.363698,22195499
2019-02-08,2.873000,2.900000,2.850000,2.886000,2.363698,22193900
2019-02-11,2.915000,2.967000,2.903000,2.958000,2.422668,16796225
2019-02-12,2.990000,2.995000,2.949000,2.959000,2.423487,14981097
2019-02-13,2.967000,2.967000,2.916000,2.955000,2.420211,15871852
2019-02-14,2.969000,2.972000,2.920000,2.925000,2.395640,19784220
2019-02-15,2.917000,3.027000,2.907000,3.011000,2.466076,25060721
2019-02-18,3.015000,3.066000,3.012000,3.055000,2.502113,13539598
2019-02-19,3.038000,3.059000,3.006000,3.050000,2.498018,14262865
2019-02-20,3.050000,3.059000,3.023000,3.034000,2.484914,16428993
2019-02-21,3.043000,3.043000,3.005000,3.010000,2.465257,16781260
2019-02-22,3.010000,3.032000,3.000000,3.010000,2.465257,11596244
2019-02-25,3.025000,3.045000,3.016000,3.027000,2.479180,9688025
2019-02-26,3.017000,3.046000,2.973000,3.040000,2.489828,13187242
2019-02-27,3.032000,3.115000,3.030000,3.111000,2.547978,14856209
