Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,3.744688,3.831417,3.670417,3.811771,3.089849,37775486
2019-01-03,3.785417,3.874542,3.777750,3.842438,3.114708,33122850
2019-01-04,3.886042,4.007751,3.873584,3.986188,3.231233,49506199
2019-01-07,4.013021,4.024521,3.962230,4.008709,3.249488,45550784
2019-01-08,4.015417,4.092563,4.000563,4.041771,3.276288,50220332
2019-01-09,4.062376,4.086813,4.012542,4.024521,3.262306,37108017
2019-01-10,4.002001,4.097355,3.988584,4.097355,3.321345,37640369
2019-01-11,4.082501,4.119396,4.062376,4.104542,3.327171,121865486
2019-01-14,4.071480,4.093042,4.015417,4.068605,3.298040,106235075
2019-01-15,4.110771,4.140001,4.016376,4.084896,3.311246,79539862
2019-01-16,4.072917,4.137126,4.036501,4.126105,3.344650,51225229
2019-01-17,4.088251,4.117959,4.064771,4.079626,3.306974,99207630
2019-01-18,4.116521,4.177376,4.103584,4.174021,3.383491,176749439
2019-01-21,4.175459,4.178334,4.138563,4.163959,3.375335,281708594
2019-01-22,4.130896,4.148626,4.095917,4.129938,3.347758,269710727
2019-01-23,4.128021,4.197501,4.111251,4.173542,3.383103,83038671
2019-01-24,4.197501,4.235834,4.108855,4.154855,3.367955,261641589
2019-01-25,4.199896,4.233917,4.164438,4.233917,3.432044,99481360
2019-01-28,4.207084,4.231042,4.151021,4.163001,3.374558,31002559
2019-01-29,4.159167,4.188396,4.116042,4.159167,3.371450,35144556
2019-01-30,4.199417,4.207084,3.996250,4.024042,3.311514,57319739
2019-01-31,4.051355,4.053751,3.910000,3.959834,3.258675,132439891
2019-02-01,3.945938,3.972292,3.858730,3.899938,3.209385,140193975
2019-02-04,3.886521,3.914792,3.822792,3.863042,3.179022,364353407
2019-02-05,3.870230,3.964146,3.845792,3.933959,3.237382,308733586
2019-02-06,3.903771,3.970855,3.886042,3.952167,3.252366,277070634
2019-02-07,3.926771,3.976125,3.827105,3.827105,3.149448,167248254
2019-02-08,3.832375,3.848667,3.777750,3.797875,3.125394,58351884
2019-02-11,3.833334,3.873584,3.815125,3.843875,3.163249,103592212
2019-02-12,3.875500,3.890834,3.836688,3.837646,3.158123,107041940
2019-02-13,3.842917,3.875500,3.815605,3.840042,3.160094,64215581
2019-02-14,3.866875,3.866875,3.795959,3.804584,3.130915,51368947
2019-02-15,3.804584,3.945938,3.785417,3.929167,3.233438,65461578
2019-02-18,3.936355,3.979000,3.929167,3.948334,3.249211,32279980
2019-02-19,3.929646,3.957917,3.877417,3.913834,3.220820,35742784
2019-02-20,3.934917,3.970855,3.892750,3.967980,3.265379,31688293
2019-02-21,3.978521,3.992896,3.943542,3.973730,3.270111,44853085
2019-02-22,3.961750,4.008230,3.953605,3.956000,3.255520,24805882
2019-02-25,3.989542,4.031230,3.980438,4.014938,3.304022,30498165
2019-02-26,3.995292,4.018292,3.944980,4.009188,3.299290,47407768
2019-02-27,3.955042,4.040334,3.922459,4.025001,3.312303,62143285
2019-02-28,4.000084,4.118438,3.986667,4.117001,3.388013,61819362
2019-03-01,4.117001,4.157251,4.077230,4.077230,3.355284,58641890
2019-03-04,4.101667,4.119876,4.058063,4.064771,3.345031,25671748
2019-03-05,4.059980,4.096876,4.036021,4.067167,3.347003,29547857
2019-03-06,4.060938,4.163480,4.048959,4.134730,3.402603,46924141
2019-03-07,4.112688,4.159167,3.948334,3.989542,3.283123,74418845
2019-03-08,3.940188,3.966542,3.871667,3.908563,3.216482,50444223
2019-03-11,3.932521,3.986667,3.900417,3.965105,3.263013,39569951
2019-03-12,3.986667,4.002480,3.923896,3.969417,3.266561,35807940
2019-03-13,3.995292,4.095917,3.982834,4.087292,3.363564,52757855
2019-03-14,4.097834,4.167313,4.092084,4.116521,3.387618,84918429
2019-03-15,4.122751,4.198938,4.100709,4.198938,3.455441,144048935
2019-03-18,4.206126,4.264584,4.197501,4.243980,3.492508,42394160
2019-03-19,4.263626,4.334542,4.238230,4.298605,3.537461,51900698
2019-03-20,4.287105,4.319209,4.238709,4.238709,3.488170,35249539
2019-03-21,4.197501,4.207084,4.131855,4.131855,3.400237,60871577
2019-03-22,4.151501,4.157730,3.971334,3.973250,3.269716,99972833
2019-03-25,3.967500,4.023084,3.938750,3.973730,3.270111,53127014
2019-03-26,3.980438,3.990021,3.910000,3.917667,3.223974,67691461
2019-03-27,3.932521,4.098313,3.905209,3.979000,3.274448,59475283
2019-03-28,3.958875,3.966542,3.910480,3.932042,3.235804,40461987
2019-03-29,3.976125,3.994813,3.930605,3.971813,3.268533,78042723
2019-04-01,4.011105,4.099751,3.984750,4.094001,3.369086,81376584
2019-04-02,4.094001,4.136646,4.068605,4.099751,3.373817,57242947
2019-04-03,4.168271,4.197501,4.147667,4.182167,3.441640,53042796
2019-04-04,4.178334,4.225771,4.151501,4.223376,3.475552,63974185
2019-04-05,4.216667,4.238230,4.187917,4.218584,3.471609,43624370
2019-04-08,4.218584,4.232480,4.170188,4.208042,3.462934,38686354
2019-04-09,4.197980,4.262667,4.178334,4.196063,3.453075,33323884
2019-04-10,4.207084,4.258355,4.171146,4.188876,3.447161,49766197
2019-04-11,4.219063,4.321605,4.178334,4.290459,3.530757,138342855
2019-04-12,4.283751,4.449542,4.233438,4.369042,3.595426,86965860
2019-04-15,4.364730,4.423188,4.347959,4.370001,3.596215,239241083
2019-04-16,4.367126,4.401146,4.313459,4.381021,3.605284,398782416
2019-04-17,4.370001,4.486917,4.370001,4.426063,3.642350,262029489
2019-04-18,4.433730,4.444751,4.341251,4.416959,3.634858,208189266
2019-04-23,4.416001,4.417917,4.339813,4.358021,3.586356,149227724
2019-04-24,4.345563,4.376709,4.257396,4.289021,3.529574,37177820
2019-04-25,4.287105,4.320646,4.255480,4.296688,3.535883,65294115
2019-04-26,4.296209,4.333105,4.265542,4.301001,3.539433,35359323
2019-04-29,4.228167,4.331188,4.221938,4.331188,3.616655,102488967
2019-04-30,4.297646,4.325917,4.262667,4.323521,3.610252,261828759
2019-05-02,4.313459,4.365209,4.237271,4.249730,3.548635,177117779
2019-05-03,4.244938,4.279917,4.192230,4.224813,3.527829,217090674
2019-05-06,4.130417,4.180251,4.102626,4.164438,3.477414,182234824
2019-05-07,4.159167,4.186001,4.054709,4.072438,3.400592,242453057
2019-05-08,4.074355,4.100230,4.023084,4.072917,3.400992,95715270
2019-05-09,4.025001,4.043209,3.965584,3.974688,3.318968,57444133
2019-05-10,4.014459,4.022126,3.934917,3.949771,3.298162,72097051
2019-05-13,3.953125,3.956959,3.887480,3.895146,3.252548,42162197
2019-05-14,3.935875,3.949771,3.884125,3.933000,3.284158,35069992
2019-05-15,3.922459,3.945938,3.866875,3.935875,3.286558,51054322
