Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,9.470000,9.740000,9.470000,9.600000,8.538031,216406
2019-01-03,9.690000,9.690000,9.350000,9.460000,8.413518,58377
2019-01-04,9.350000,9.620000,9.350000,9.400000,8.360155,60402
2019-01-07,9.470000,9.470000,9.410000,9.470000,8.422412,149014
2019-01-08,9.490000,9.500000,9.380000,9.450000,8.404624,152146
2019-01-09,9.330000,9.530000,9.330000,9.430000,8.386837,168892
2019-01-10,9.480000,9.500000,9.350000,9.380000,8.342367,57927
2019-01-11,9.340000,9.450000,9.200000,9.230000,8.208961,46771
2019-01-14,9.390000,9.390000,8.900000,9.000000,8.004404,71436
2019-01-15,8.950000,9.220000,8.950000,9.120000,8.111130,48726
2019-01-16,9.200000,9.500000,9.080000,9.400000,8.360155,158419
2019-01-17,9.360000,9.410000,9.200000,9.200000,8.182280,88344
2019-01-18,9.150000,9.450000,9.150000,9.440000,8.395729,457860
2019-01-21,9.430000,9.780000,9.430000,9.740000,8.662543,41053
2019-01-22,9.850000,9.930000,9.590000,9.740000,8.662543,89072
2019-01-23,9.820000,9.830000,9.600000,9.780000,8.698119,93860
2019-01-24,9.800000,9.860000,9.660000,9.700000,8.626969,142187
2019-01-25,9.630000,9.810000,9.630000,9.710000,8.635862,97199
2019-01-28,9.790000,9.790000,9.610000,9.730000,8.653649,834944
2019-01-29,9.730000,9.820000,9.660000,9.800000,8.715908,58276
2019-01-30,9.850000,9.940000,9.730000,9.870000,8.778163,62879
2019-01-31,9.790000,10.040000,9.750000,9.900000,8.804845,203357
2019-02-01,9.970000,10.160000,9.940000,10.160000,9.036083,316782
2019-02-04,10.000000,10.160000,9.780000,9.920000,8.822632,100274
2019-02-05,9.800000,10.160000,9.800000,10.160000,9.036083,41053
2019-02-06,9.940000,10.140000,9.940000,10.060000,8.947146,46555
2019-02-07,10.100000,10.100000,9.800000,9.880000,8.787057,48400
2019-02-08,9.870000,9.870000,9.640000,9.660000,8.591394,26175
2019-02-11,9.640000,9.840000,9.640000,9.810000,8.724800,34570
2019-02-12,9.850000,10.060000,9.710000,9.900000,8.804845,49200
2019-02-13,9.800000,9.880000,9.560000,9.580000,8.520244,42321
2019-02-14,9.630000,10.100000,9.470000,9.800000,8.715908,49495
2019-02-15,10.000000,10.000000,9.720000,9.800000,8.715908,36210
2019-02-18,9.990000,9.990000,9.610000,9.740000,8.662543,13229
2019-02-19,9.640000,9.850000,9.600000,9.770000,8.689226,48052
2019-02-20,9.650000,10.100000,9.650000,9.800000,8.715908,92938
2019-02-21,9.980000,9.980000,9.700000,9.780000,8.698119,15447
2019-02-22,9.700000,9.920000,9.660000,9.840000,8.751483,43431
2019-02-25,9.750000,9.790000,9.660000,9.720000,8.644758,45371
2019-02-26,9.800000,9.800000,9.620000,9.740000,8.662543,140393
2019-02-27,9.650000,9.750000,9.650000,9.730000,8.653649,22976
2019-02-28,9.710000,9.900000,9.650000,9.850000,8.760375,84630
2019-03-01,9.900000,10.160000,9.740000,10.000000,8.893782,154582
2019-03-04,10.100000,10.100000,9.950000,10.000000,8.893782,28101
2019-03-05,10.160000,10.160000,9.850000,10.000000,8.893782,37799
2019-03-06,10.000000,10.080000,9.870000,9.950000,8.849313,83039
2019-03-07,9.900000,9.930000,9.620000,9.920000,8.822632,360580
2019-03-08,9.810000,9.850000,9.550000,9.570000,8.511350,38100
2019-03-11,9.750000,9.750000,9.380000,9.400000,8.360155,32364
2019-03-12,9.250000,9.420000,9.250000,9.320000,8.289006,324947
2019-03-13,9.210000,9.500000,9.210000,9.500000,8.449093,38676
2019-03-14,9.510000,9.510000,9.300000,9.490000,8.440199,17555
2019-03-15,9.320000,9.890000,9.320000,9.760000,8.680333,102079
2019-03-18,9.780000,9.940000,9.710000,9.850000,8.760375,36571
2019-03-19,9.940000,10.500000,9.890000,10.280000,9.142808,197327
2019-03-20,10.300000,10.360000,10.060000,10.280000,9.142808,104486
2019-03-21,10.100000,10.400000,10.100000,10.180000,9.053871,63048
2019-03-22,9.960000,10.340000,9.920000,9.930000,8.831526,63498
2019-03-25,10.100000,10.120000,9.720000,9.920000,8.822632,63287
2019-03-26,9.970000,10.040000,9.810000,10.020000,8.911571,22796
2019-03-27,10.200000,10.320000,9.930000,10.160000,9.036083,89620
2019-03-28,10.060000,10.140000,9.920000,10.060000,8.947146,58144
2019-03-29,9.950000,10.320000,9.950000,10.240000,9.107233,25407
2019-04-01,10.300000,10.500000,10.160000,10.320000,9.178383,254864
2019-04-02,10.120000,10.500000,10.120000,10.480000,9.320684,75354
2019-04-03,10.500000,10.600000,10.340000,10.360000,9.213958,94463
2019-04-04,10.300000,10.360000,10.200000,10.220000,9.089446,61744
2019-04-05,10.400000,10.520000,10.300000,10.420000,9.267322,27946
2019-04-08,10.600000,10.600000,10.320000,10.420000,9.267322,15198
2019-04-09,10.360000,10.520000,10.260000,10.380000,9.231747,297383
2019-04-10,10.260000,10.280000,10.040000,10.040000,8.929358,55587
2019-04-11,10.040000,10.180000,9.950000,10.140000,9.018296,158377
2019-04-12,10.040000,10.260000,10.020000,10.020000,8.911571,57531
2019-04-15,9.900000,10.140000,9.840000,10.060000,8.947146,16964
2019-04-16,9.960000,10.260000,9.960000,10.160000,9.036083,71642
2019-04-17,10.000000,10.200000,10.000000,10.020000,8.911571,145774
2019-04-18,10.060000,10.140000,10.000000,10.080000,8.964932,27959
2019-04-23,10.000000,10.200000,9.900000,9.910000,8.813739,433554
2019-04-24,10.000000,10.080000,9.770000,9.850000,8.760375,69426
2019-04-25,9.850000,10.000000,9.750000,9.760000,8.680333,94053
2019-04-26,9.710000,9.860000,9.620000,9.710000,8.635862,41705
2019-04-29,9.630000,9.850000,9.630000,9.690000,8.618074,62401
2019-04-30,9.640000,9.820000,9.590000,9.750000,8.671438,196750
2019-05-02,9.970000,9.970000,9.700000,9.740000,8.662543,83712
2019-05-03,9.720000,10.120000,9.720000,9.880000,8.787057,40703
2019-05-06,10.120000,10.120000,9.760000,9.890000,8.795951,397344
2019-05-07,9.890000,10.100000,9.800000,10.000000,8.893782,63122
2019-05-08,10.020000,10.600000,10.020000,10.600000,9.427409,162263
2019-05-09,10.600000,10.600000,10.300000,10.540000,9.374046,54086
2019-05-10,10.160000,10.460000,10.140000,10.240000,9.107233,100523
2019-05-13,10.580000,10.580000,10.040000,10.120000,9.000507,53247
2019-05-14,10.220000,10.360000,10.080000,10.180000,9.053871,49281
2019-05-15,10.300000,10.300000,9.900000,9.970000,8.867102,52515
2019-05-16,9.930000,10.040000,9.900000,9.940000,8.840418,35358
2019-05-17,10.260000,10.260000,10.000000,10.220000,9.089446,64361
2019-05-20,10.220000,10.260000,10.060000,10.120000,9.000507,38873
2019-05-21,10.300000,10.360000,10.140000,10.360000,9.213958,35474
2019-05-22,10.480000,10.500000,10.240000,10.400000,9.249535,29812
2019-05-23,10.340000,10.400000,10.220000,10.340000,9.196172,40259
2019-05-24,10.200000,10.360000,10.120000,10.220000,9.089446,58204
2019-05-27,10.360000,10.600000,10.300000,10.540000,9.374046,93545
2019-05-28,10.600000,11.320000,10.500000,11.180000,9.943247,733288
2019-05-29,11.160000,11.480000,10.900000,11.280000,10.032187,372200
2019-05-30,11.400000,11.460000,11.300000,11.360000,10.103336,71574
2019-05-31,11.480000,11.480000,10.920000,11.060000,9.836525,53646
2019-06-03,10.900000,11.280000,10.900000,11.120000,9.889888,50162
2019-06-04,11.260000,11.460000,11.060000,11.360000,10.103336,63558
2019-06-05,11.200000,11.460000,11.140000,11.460000,10.192275,54702
2019-06-06,11.640000,11.920000,11.480000,11.760000,10.459087,108182
2019-06-07,11.700000,11.880000,11.660000,11.740000,10.441299,259681
2019-06-10,11.880000,12.040000,11.680000,11.800000,10.494662,28666
2019-06-11,11.620000,11.800000,11.560000,11.600000,10.316789,47981
2019-06-12,11.500000,11.760000,11.320000,11.600000,10.316789,61006
2019-06-13,11.420000,11.620000,11.060000,11.100000,9.872100,41807
2019-06-14,11.260000,11.420000,11.080000,11.320000,10.067760,91993
2019-06-17,11.440000,11.440000,11.200000,11.340000,10.085550,21137
2019-06-18,11.420000,11.660000,11.180000,11.600000,10.316789,46913
2019-06-19,11.420000,11.820000,11.420000,11.800000,10.494662,48036
2019-06-20,11.820000,12.220000,11.660000,12.180000,10.832626,80283
2019-06-21,12.360000,12.680000,12.260000,12.480000,11.099440,257448
2019-06-24,12.420000,12.600000,12.420000,12.520000,11.135015,89631
2019-06-25,12.420000,12.740000,12.420000,12.680000,11.277317,127040
2019-06-26,11.820000,11.860000,11.100000,11.340000,10.085550,12142877
2019-06-27,11.400000,11.460000,11.240000,11.320000,10.067760,167868
2019-06-28,11.300000,11.620000,11.260000,11.620000,10.334575,243672
2019-07-01,11.660000,11.700000,11.400000,11.580000,10.299001,640154
2019-07-02,11.640000,11.640000,11.440000,11.520000,10.245639,238293
2019-07-03,11.440000,11.760000,11.440000,11.620000,10.334575,285556
2019-07-04,11.500000,11.680000,11.080000,11.080000,9.854311,157571
2019-07-05,11.060000,11.700000,11.060000,11.620000,10.334575,234421
2019-07-08,11.580000,11.980000,11.580000,11.840000,10.530239,158244
2019-07-09,11.800000,11.920000,11.780000,11.860000,10.548026,197213
2019-07-10,11.800000,11.840000,11.780000,11.800000,10.494662,511308
2019-07-11,11.860000,11.880000,11.560000,11.740000,10.441299,156735
2019-07-12,11.520000,12.040000,11.520000,12.000000,10.672540,103334
2019-07-15,12.040000,12.120000,11.640000,11.700000,10.405725,94861
2019-07-16,11.620000,11.900000,11.620000,11.820000,10.512451,56001
2019-07-17,11.660000,11.840000,11.600000,11.680000,10.387938,62605
2019-07-18,11.660000,12.020000,11.500000,11.940000,10.619176,148635
2019-07-19,11.780000,12.040000,11.780000,12.000000,10.672540,87886
2019-07-22,12.100000,12.180000,11.960000,11.960000,10.636964,159407
2019-07-23,11.980000,11.980000,11.660000,11.860000,10.548026,57449
