Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1.702205,1.739230,1.646666,1.729487,1.350952,9286873
2019-01-03,1.704153,1.797205,1.704153,1.772846,1.384820,1810149
2019-01-04,1.791846,1.861025,1.791846,1.838128,1.435814,6543175
2019-01-07,1.867358,1.878076,1.834717,1.847871,1.443425,2224251
2019-01-08,1.841538,1.875641,1.840564,1.856641,1.450275,3199518
2019-01-09,1.861512,1.938974,1.856153,1.927282,1.505455,2486204
2019-01-10,1.920948,1.997435,1.890256,1.989641,1.554165,1814518
2019-01-11,1.992564,2.015948,1.941410,1.971128,1.539704,2073115
2019-01-14,1.924358,1.941410,1.890256,1.924846,1.542437,1594775
2019-01-15,1.942871,1.974051,1.878564,1.894153,1.517842,2102457
2019-01-16,1.894153,1.909743,1.842025,1.864923,1.494419,6071499
2019-01-17,1.857128,1.914128,1.823512,1.889769,1.514329,2549017
2019-01-18,1.909743,1.973076,1.893179,1.937512,1.552586,2651995
2019-01-21,1.940435,1.974051,1.938974,1.963333,1.573278,1261838
2019-01-22,1.967230,1.976974,1.948717,1.969179,1.577962,1872007
2019-01-23,1.958461,2.032512,1.958461,2.011076,1.611536,1181308
2019-01-24,2.031538,2.063692,2.013999,2.055897,1.647452,2057377
2019-01-25,2.065641,2.115333,2.038358,2.102666,1.684929,1940801
2019-01-28,2.103641,2.124102,2.051025,2.078307,1.665410,2409372
2019-01-29,2.104615,2.109487,2.055897,2.062717,1.652917,7062222
2019-01-30,2.044205,2.060769,2.030564,2.045179,1.638863,1348252
2019-01-31,2.062717,2.080256,2.005230,2.050051,1.642767,3513958
2019-02-01,2.066615,2.070512,2.005230,2.023743,1.621686,2160013
2019-02-04,2.020820,2.065641,2.015948,2.044205,1.638083,1373640
2019-02-05,2.065641,2.094871,2.063692,2.078307,1.665410,1172415
2019-02-06,2.075384,2.082205,2.053948,2.068564,1.657602,1862649
2019-02-07,2.060769,2.082205,1.983794,1.989641,1.594359,1282331
2019-02-08,1.974051,2.036410,1.969179,1.982820,1.588893,1170592
2019-02-11,2.007179,2.021794,1.977948,1.977948,1.584989,1596795
2019-02-12,1.990615,2.089025,1.981846,2.051999,1.644329,1888672
2019-02-13,2.049076,2.070512,2.013025,2.030564,1.627152,1166076
2019-02-14,2.046153,2.047128,2.017897,2.018871,1.617782,713647
2019-02-15,2.015948,2.030564,1.991589,2.013025,1.613097,1446149
2019-02-18,2.013025,2.094871,2.013025,2.070512,1.659163,1213575
2019-02-19,2.064666,2.079282,2.027641,2.039333,1.634179,1014573
