id,ticker,empresa,sector,sede,abandono
1,ABG,Abengoa,Industrial Services,Sevilla,2015
2,ABE,Abertis Infraestructuras,Industrial Services,Madrid,2018
3,ACR,Aceralia,Resources,Bilbao,2004
4,AGR,Agromán,Industrial Services,Madrid,1993
5,AGS,Aguas de Barcelona,Energy,Barcelona,2008
6,ALM,Almirall,Pharma,Barcelona,2022
7,ALT,Altadis,Consumer Goods,Madrid,2008
8,AMP,Amper,Telco,Pozuelo de Alarcón,1999
9,A3TV,Antena 3 TV,Media,San Sebastián de los Reyes,2008
10,LOR,Arcelor,Resources,Ciudad de Luxemburgo,2006
11,ARG,Argentaria,Banking,Madrid,2000
12,ASL,Asland,Chemical,Barcelona,1994
13,AZC,Asturiana de Zinc,Chemical,Asturias,2001
14,AUM,Autopistas del Mare Nostrum,Industrial Services,Valencia,2000
15,BBV,Banco Bilbao Vizcaya,Banking,Bilbao,2000
16,CEN,Banco Central,Banking,Madrid,1991
17,BCH,Banco Central Hispano,Banking,Madrid,1999
18,HIS,Banco Hispano Americano,Banking,Madrid,1991
19,POP,Banco Popular,Banking,Madrid,2017
20,BTO,Banesto,Banking,Madrid,2011
21,BKIA,Bankia,Banking,Valencia,2021
22,BME,Bolsas y Mercados Españoles,Banking,Madrid,2015
23,CAR,Carrefour,Grocery,Francia,2007
24,CEP,Cepsa,Energy,Madrid,1993
25,CIE,CIE Automotive,Resources,Bilbao,2022
26,CIN,Cintra,Industrial Services,Madrid,2009
27,CTE,Continente,Consumer Goods,Francia,2000
28,ALB,Corporación Financiera Alba,Capital Markets,Madrid,2003
29,CTF,Cortefiel,Retail,Madrid,1995
30,SEV,Compañía Sevillana de Electricidad,Energy,Sevilla,1999
31,CRI,Cristalería Española,Consumer Goods,Bilbao,2011
32,DIA,DIA,Grocery,Las Rozas,2018
33,DRC,Dragados,Industrial Services,Madrid,2003
34,EBA,Ebro Agrícolas,Consumer Goods,Madrid,2001
35,EBRO,Ebro Foods,Consumer Goods,Madrid,2014
36,ENC,ENCE Energía y Celulosa,Resources,Madrid,2020
37,ARA,Energía e Industrias Aragonesas,Chemical,Barcelona,2003
38,ECR,Ercros,Chemical,Barcelona,1992
39,FAD,Fadesa,Real Estate,La Coruña,2007
40,FCC,FCC,Industrial Services,Barcelona,2016
41,FEC,Fuerzas Eléctricas de Cataluña,Energy,Barcelona,1999
42,GES,GESA,Energy,Palma de Mallorca,1997
43,MAS,Grupo MásMóvil,Telco,Alcobendas,2020
44,CAN,Hidrocantábrico,Energy,Oviedo,2002
45,HHU,Huarte,Industrial Services,Pamplona,1998
46,IBR,Iberdrola Renovables,Energy,Valencia,2011
47,IBLA,Iberia,Travel,Madrid,2011
48,JAZ,Jazztel,Telco,Pozuelo de Alarcón,2015
49,TL5,Mediaset España,Media,Madrid,2020
50,MVC,Metrovacesa,Real Estate,Madrid,2007
51,TEM,Movistar Móviles,Telco,Madrid,2006
52,NHH,NH Hotel Group,Travel,Madrid,2008
53,OHL,OHL,Industrial Services,Madrid,2016
54,PHM,PharmaMar,Pharma,Colmenar Viejo,2022
55,GPP,Picking Pack,Telco,El Prat de Llobregat,2001
56,VDR,Portland Valderrivas,Industrial Services,Pamplona,1995
57,PRS,Prisa,Media,Madrid,2007
58,PSG,Prosegur,Security,Madrid,1991
59,PRY,Pryca,Grocery,Madrid,2000
60,PUL,Puleva,Consumer Goods,Granada,2001
61,RAD,Radiotrónica,High Tech,Madrid,1999
62,SAR,Sarrió,Resources,Barcelona,1993
63,SGRE,Siemens Gamesa Renewable Energy,Industrial Services,Zamudio,2022
64,SGC,Sogecable,Telco,Tres Cantos,2008
65,TRE,Técnicas Reunidas,Energy,Madrid,2019
66,TEM,Telefónica Móviles,Telco,Madrid,2006
67,TPI,Telefónica Publicidad e Información,Telco,Madrid,2006
68,TPZ,Telepizza,Consumer Goods,San Sebastián de los Reyes,2002
69,TRR,Terra Networks,Telco,Madrid,2005
70,TUB,Tubacex,Resources,Llodio,1999
71,URA,Uralita,Industrial Services,Madrid,2000
72,UNF,Unión Fenosa,Energy,Madrid,2009
73,URB,Urbis,Real Estate,Madrid,1993
74,VIS,Viscofan,Consumer Goods,Tajonar,2021
75,ZOT,Zardoya Otis,Industrial Services,Madrid,1994
76,ZEL,Zeltia,Pharma,Madrid,2005
