id,ticker,empresa,date,open,high,low,close,adj close,volume
33,SLR,Solaria,2019-01-02,3.95,4.27,3.89,4.255,4.255,730536
33,SLR,Solaria,2019-01-03,4.23,4.395,4.12,4.165,4.165,932541
33,SLR,Solaria,2019-01-04,4.18,4.72,4.18,4.625,4.625,2028026
33,SLR,Solaria,2019-01-07,4.66,4.95,4.62,4.85,4.85,2201261
33,SLR,Solaria,2019-01-08,4.845,5.01,4.53,4.685,4.685,2550553
33,SLR,Solaria,2019-01-09,4.73,4.84,4.63,4.69,4.69,858776
33,SLR,Solaria,2019-01-10,4.725,4.755,4.6,4.66,4.66,758766
33,SLR,Solaria,2019-01-11,4.655,4.735,4.525,4.555,4.555,612818
33,SLR,Solaria,2019-01-14,4.495,4.53,4.33,4.39,4.39,792871
33,SLR,Solaria,2019-01-15,4.355,4.565,4.35,4.48,4.48,670576
33,SLR,Solaria,2019-01-16,4.62,4.75,4.485,4.675,4.675,736687
33,SLR,Solaria,2019-01-17,4.69,4.79,4.55,4.59,4.59,638309
33,SLR,Solaria,2019-01-18,4.68,4.76,4.65,4.66,4.66,439499
33,SLR,Solaria,2019-01-21,4.745,4.87,4.71,4.78,4.78,479871
33,SLR,Solaria,2019-01-22,4.81,4.81,4.66,4.665,4.665,687122
33,SLR,Solaria,2019-01-23,4.67,4.77,4.61,4.765,4.765,459410
33,SLR,Solaria,2019-01-24,4.8,4.865,4.715,4.765,4.765,1334618
33,SLR,Solaria,2019-01-25,4.82,4.83,4.75,4.78,4.78,564477
33,SLR,Solaria,2019-01-28,4.8,5.45,4.76,5.44,5.44,2970542
33,SLR,Solaria,2019-01-29,5.5,5.63,5.15,5.22,5.22,2015297
33,SLR,Solaria,2019-01-30,5.22,5.46,5.11,5.31,5.31,920901
33,SLR,Solaria,2019-01-31,5.45,5.5,5.22,5.39,5.39,635575
33,SLR,Solaria,2019-02-01,5.41,5.43,5.29,5.38,5.38,533295
33,SLR,Solaria,2019-02-04,5.37,5.55,5.33,5.44,5.44,574047
33,SLR,Solaria,2019-02-05,5.5,5.75,5.46,5.7,5.7,1266572
33,SLR,Solaria,2019-02-06,5.7,5.83,5.66,5.68,5.68,818716
33,SLR,Solaria,2019-02-07,5.64,5.69,5.32,5.41,5.41,1338994
33,SLR,Solaria,2019-02-08,5.41,5.57,4.985,5.09,5.09,1679762
33,SLR,Solaria,2019-02-11,5.13,5.25,5.06,5.22,5.22,978365
33,SLR,Solaria,2019-02-12,5.26,5.34,5.21,5.21,5.21,313633
33,SLR,Solaria,2019-02-13,5.2,5.24,4.91,5.1,5.1,1057125
33,SLR,Solaria,2019-02-14,5.09,5.18,4.915,5.05,5.05,945124
33,SLR,Solaria,2019-02-15,5.12,5.33,5.05,5.26,5.26,557671
33,SLR,Solaria,2019-02-18,5.29,5.39,5.21,5.34,5.34,685917
33,SLR,Solaria,2019-02-19,5.35,5.38,5.24,5.25,5.25,575745
33,SLR,Solaria,2019-02-20,5.27,5.36,5.23,5.35,5.35,259531
33,SLR,Solaria,2019-02-21,5.37,5.37,5.22,5.34,5.34,391919
33,SLR,Solaria,2019-02-22,5.26,5.37,5.26,5.32,5.32,184383
33,SLR,Solaria,2019-02-25,5.36,5.66,5.35,5.49,5.49,1130110
33,SLR,Solaria,2019-02-26,5.5,5.57,5.37,5.44,5.44,493198
33,SLR,Solaria,2019-02-27,5.37,5.38,5.08,5.29,5.29,1871126
33,SLR,Solaria,2019-02-28,5.22,5.3,5.22,5.29,5.29,251257
33,SLR,Solaria,2019-03-01,5.26,5.36,5.22,5.26,5.26,402151
33,SLR,Solaria,2019-03-04,5.32,5.44,5.24,5.27,5.27,517713
33,SLR,Solaria,2019-03-05,5.27,5.29,5.12,5.2,5.2,402169
33,SLR,Solaria,2019-03-06,5.19,5.19,4.985,4.99,4.99,689356
33,SLR,Solaria,2019-03-07,4.98,5.24,4.9,5.23,5.23,1076509
33,SLR,Solaria,2019-03-08,5.17,5.2,5.01,5.1,5.1,755501
33,SLR,Solaria,2019-03-11,5.08,5.15,4.91,5.1,5.1,543273
33,SLR,Solaria,2019-03-12,5.12,5.18,5.05,5.16,5.16,442568
33,SLR,Solaria,2019-03-13,5.11,5.15,5.07,5.1,5.1,252712
33,SLR,Solaria,2019-03-14,5.1,5.22,5.07,5.09,5.09,455010
33,SLR,Solaria,2019-03-15,5.08,5.13,4.99,5.0,5.0,882676
33,SLR,Solaria,2019-03-18,5.0,5.08,4.93,4.96,4.96,497257
33,SLR,Solaria,2019-03-19,4.93,5.13,4.93,5.1,5.1,636953
33,SLR,Solaria,2019-03-20,5.1,5.15,4.98,5.0,5.0,439217
