id,ticker,empresa,date,open,high,low,close,adj close,volume
25,MAP,mapfre,2019-01-02,2.31,2.319,2.252,2.295,1.515935,4014328
25,MAP,mapfre,2019-01-03,2.292,2.318,2.281,2.306,1.5232,4965524
25,MAP,mapfre,2019-01-04,2.32,2.373,2.312,2.371,1.566135,3943996
25,MAP,mapfre,2019-01-07,2.38,2.398,2.364,2.37,1.565475,2918356
25,MAP,mapfre,2019-01-08,2.358,2.373,2.333,2.367,1.563493,5603813
25,MAP,mapfre,2019-01-09,2.375,2.385,2.345,2.356,1.556227,4030886
25,MAP,mapfre,2019-01-10,2.349,2.388,2.343,2.388,1.577365,3490551
25,MAP,mapfre,2019-01-11,2.395,2.427,2.392,2.414,1.594538,5826070
25,MAP,mapfre,2019-01-14,2.415,2.424,2.387,2.424,1.601144,4275961
25,MAP,mapfre,2019-01-15,2.444,2.457,2.423,2.438,1.610391,3213433
25,MAP,mapfre,2019-01-16,2.44,2.459,2.44,2.459,1.624263,4107347
25,MAP,mapfre,2019-01-17,2.445,2.465,2.432,2.438,1.610391,5713303
25,MAP,mapfre,2019-01-18,2.459,2.474,2.448,2.464,1.627565,4355955
25,MAP,mapfre,2019-01-21,2.47,2.478,2.455,2.475,1.634831,2832784
25,MAP,mapfre,2019-01-22,2.471,2.485,2.44,2.45,1.618318,5058220
25,MAP,mapfre,2019-01-23,2.449,2.48,2.438,2.473,1.63351,3855194
25,MAP,mapfre,2019-01-24,2.48,2.506,2.472,2.501,1.652005,4910669
25,MAP,mapfre,2019-01-25,2.515,2.52,2.489,2.489,1.644079,3221508
25,MAP,mapfre,2019-01-28,2.486,2.492,2.467,2.479,1.637473,2850329
25,MAP,mapfre,2019-01-29,2.47,2.494,2.464,2.479,1.637473,3008698
25,MAP,mapfre,2019-01-30,2.477,2.481,2.461,2.481,1.638794,2153610
25,MAP,mapfre,2019-01-31,2.482,2.489,2.421,2.428,1.603786,4759468
25,MAP,mapfre,2019-02-01,2.439,2.473,2.432,2.467,1.629547,3366479
25,MAP,mapfre,2019-02-04,2.467,2.477,2.445,2.461,1.625583,4259158
25,MAP,mapfre,2019-02-05,2.469,2.483,2.453,2.477,1.636152,3741932
25,MAP,mapfre,2019-02-06,2.479,2.487,2.47,2.474,1.63417,3114282
25,MAP,mapfre,2019-02-07,2.471,2.477,2.38,2.4,1.585291,5442750
25,MAP,mapfre,2019-02-08,2.4,2.415,2.385,2.404,1.587933,4725683
25,MAP,mapfre,2019-02-11,2.37,2.404,2.36,2.384,1.574722,4513957
25,MAP,mapfre,2019-02-12,2.396,2.406,2.384,2.389,1.578025,2663733
25,MAP,mapfre,2019-02-13,2.389,2.425,2.389,2.425,1.601804,4890069
25,MAP,mapfre,2019-02-14,2.425,2.449,2.408,2.409,1.591236,4656022
25,MAP,mapfre,2019-02-15,2.41,2.471,2.39,2.45,1.618318,4039219
25,MAP,mapfre,2019-02-18,2.46,2.464,2.435,2.438,1.610391,2524968
25,MAP,mapfre,2019-02-19,2.441,2.456,2.43,2.456,1.622281,4115246
25,MAP,mapfre,2019-02-20,2.457,2.483,2.451,2.475,1.634831,2704547
25,MAP,mapfre,2019-02-21,2.478,2.49,2.473,2.474,1.63417,2736271
25,MAP,mapfre,2019-02-22,2.473,2.49,2.47,2.489,1.644079,2759495
25,MAP,mapfre,2019-02-25,2.494,2.5,2.467,2.481,1.638794,3244959
25,MAP,mapfre,2019-02-26,2.474,2.49,2.457,2.478,1.636813,3006115
25,MAP,mapfre,2019-02-27,2.475,2.481,2.462,2.467,1.629547,3300929
25,MAP,mapfre,2019-02-28,2.46,2.494,2.453,2.484,1.640776,5879916
25,MAP,mapfre,2019-03-01,2.493,2.511,2.487,2.495,1.648042,4717318
25,MAP,mapfre,2019-03-04,2.501,2.515,2.495,2.496,1.648703,2582438
25,MAP,mapfre,2019-03-05,2.496,2.501,2.471,2.48,1.638134,2833414
25,MAP,mapfre,2019-03-06,2.481,2.512,2.471,2.501,1.652005,4347753
25,MAP,mapfre,2019-03-07,2.499,2.511,2.465,2.466,1.628886,3434550
25,MAP,mapfre,2019-03-08,2.456,2.459,2.429,2.44,1.611712,3114947
25,MAP,mapfre,2019-03-11,2.45,2.454,2.425,2.428,1.603786,2955842
25,MAP,mapfre,2019-03-12,2.439,2.45,2.422,2.439,1.611052,2420459
25,MAP,mapfre,2019-03-13,2.45,2.473,2.442,2.463,1.626905,4958009
25,MAP,mapfre,2019-03-14,2.463,2.5,2.463,2.481,1.638794,5769813
25,MAP,mapfre,2019-03-15,2.483,2.517,2.483,2.517,1.662574,8337401
25,MAP,mapfre,2019-03-18,2.52,2.566,2.518,2.548,1.683051,5140903
25,MAP,mapfre,2019-03-19,2.555,2.592,2.551,2.59,1.710793,4910360
25,MAP,mapfre,2019-03-20,2.585,2.596,2.534,2.534,1.673803,3582412
25,MAP,mapfre,2019-03-21,2.525,2.538,2.509,2.529,1.6705,2518962
25,MAP,mapfre,2019-03-22,2.534,2.544,2.492,2.492,1.646061,5716786
25,MAP,mapfre,2019-03-25,2.49,2.507,2.475,2.477,1.636152,6230406
25,MAP,mapfre,2019-03-26,2.486,2.487,2.435,2.437,1.609731,4631014
25,MAP,mapfre,2019-03-27,2.449,2.473,2.433,2.447,1.616336,4458468
25,MAP,mapfre,2019-03-28,2.445,2.46,2.429,2.431,1.605768,3123139
