id,ticker,empresa,date,open,high,low,close,adj close,volume
26,MEL,Melia,2020-07-02,3.684,4.082,3.684,4.0,4.0,20050
26,MEL,Melia,2020-07-03,4.01,4.01,3.908,3.952,3.952,0
26,MEL,Melia,2020-07-06,4.0,4.11,4.0,4.084,4.084,0
26,MEL,Melia,2020-07-07,3.988,3.988,3.888,3.888,3.888,0
26,MEL,Melia,2020-07-08,3.828,3.828,3.796,3.818,3.818,0
26,MEL,Melia,2020-07-09,3.786,3.786,3.732,3.732,3.732,0
26,MEL,Melia,2020-07-10,3.64,3.64,3.636,3.636,3.636,0
26,MEL,Melia,2020-07-13,3.772,3.778,3.72,3.72,3.72,300
26,MEL,Melia,2020-07-14,3.682,3.688,3.55,3.55,3.55,0
26,MEL,Melia,2020-07-15,3.622,3.84,3.622,3.84,3.84,0
26,MEL,Melia,2020-07-16,3.82,3.824,3.818,3.824,3.824,0
26,MEL,Melia,2020-07-17,3.774,3.774,3.712,3.712,3.712,0
26,MEL,Melia,2020-07-20,3.67,3.67,3.646,3.646,3.646,0
26,MEL,Melia,2020-07-21,3.654,3.654,3.654,3.654,3.654,0
26,MEL,Melia,2020-07-22,3.836,3.836,3.742,3.742,3.742,0
26,MEL,Melia,2020-07-23,3.692,3.692,3.598,3.598,3.598,0
26,MEL,Melia,2020-07-24,3.55,3.664,3.55,3.612,3.612,0
26,MEL,Melia,2020-07-27,3.686,3.686,3.684,3.684,3.684,0
26,MEL,Melia,2020-07-28,3.364,3.456,3.364,3.456,3.456,0
26,MEL,Melia,2020-07-29,3.432,3.436,3.378,3.416,3.416,0
26,MEL,Melia,2020-07-30,3.37,3.426,3.366,3.426,3.426,0
26,MEL,Melia,2020-07-31,3.426,3.426,3.424,3.424,3.424,0
26,MEL,Melia,2020-08-03,2.94,2.954,2.916,2.954,2.954,0
26,MEL,Melia,2020-08-04,3.018,3.02,3.018,3.02,3.02,0
26,MEL,Melia,2020-08-05,3.108,3.108,3.108,3.108,3.108,0
26,MEL,Melia,2020-08-06,3.364,3.364,3.32,3.32,3.32,0
26,MEL,Melia,2020-08-07,3.338,3.354,3.26,3.354,3.354,0
26,MEL,Melia,2020-08-10,3.368,3.49,3.368,3.49,3.49,0
26,MEL,Melia,2020-08-11,3.512,3.512,3.506,3.506,3.506,0
26,MEL,Melia,2020-08-12,3.818,3.818,3.75,3.75,3.75,0
26,MEL,Melia,2020-08-13,3.646,3.728,3.646,3.728,3.728,0
26,MEL,Melia,2020-08-14,3.72,3.72,3.572,3.622,3.622,0
26,MEL,Melia,2020-08-17,3.538,3.538,3.388,3.388,3.388,0
26,MEL,Melia,2020-08-18,3.314,3.436,3.314,3.394,3.394,0
26,MEL,Melia,2020-08-19,3.332,3.346,3.332,3.346,3.346,0
26,MEL,Melia,2020-08-20,3.354,3.356,3.324,3.326,3.326,0
26,MEL,Melia,2020-08-21,3.322,3.368,3.32,3.368,3.368,0
26,MEL,Melia,2020-08-24,3.4,3.4,3.3,3.32,3.32,0
26,MEL,Melia,2020-08-25,3.364,3.508,3.364,3.478,3.478,0
26,MEL,Melia,2020-08-26,3.428,3.494,3.428,3.488,3.488,0
26,MEL,Melia,2020-08-27,3.448,3.546,3.422,3.546,3.546,0
26,MEL,Melia,2020-08-28,3.552,3.618,3.552,3.574,3.574,0
26,MEL,Melia,2020-08-31,3.588,3.602,3.54,3.54,3.54,0
26,MEL,Melia,2020-09-01,3.468,3.468,3.39,3.39,3.39,0
26,MEL,Melia,2020-09-02,3.376,3.412,3.372,3.378,3.378,0
26,MEL,Melia,2020-09-03,3.402,3.402,3.402,3.402,3.402,0
26,MEL,Melia,2020-09-04,3.452,3.534,3.448,3.534,3.534,0
26,MEL,Melia,2020-09-07,3.558,3.576,3.558,3.558,3.558,0
