name,date,do,pred,error,stock,day_gap,money,evolution,opti_real,opti_pred
cellnex,2024-01-02,35.01,34.7,-0.30999999999999517,2,,,,,
cellnex,2024-01-03,35.06,35.03,-0.030000000000001137,2,0.05000000000000426,0.10000000000000853,100.1,,
cellnex,2024-01-04,35.31,35.08,-0.23000000000000398,2,0.25,0.5,100.6,,
cellnex,2024-01-05,35.5,35.32,-0.17999999999999972,2,0.18999999999999773,0.37999999999999545,100.98,,
cellnex,2024-01-08,35.82,35.51,-0.3100000000000023,2,0.3200000000000003,0.6400000000000006,101.62,,
cellnex,2024-01-09,35.57,35.83,0.259999999999998,2,-0.25,-0.5,101.12,,
cellnex,2024-01-10,35.22,35.58,0.35999999999999943,2,-0.3500000000000014,-0.7000000000000028,100.42,,
cellnex,2024-01-11,34.28,35.23,0.9499999999999957,2,-0.9399999999999977,-1.8799999999999955,98.54,,
cellnex,2024-01-12,33.63,34.3,0.6699999999999946,2,-0.6499999999999986,-1.2999999999999972,97.24,,
cellnex,2024-01-15,33.74,33.65,-0.09000000000000341,2,0.10999999999999943,0.21999999999999886,97.46,,
cellnex,2024-01-16,34.15,33.76,-0.39000000000000057,2,0.4099999999999966,0.8199999999999932,98.28,,
cellnex,2024-01-17,34.45,34.17,-0.28000000000000114,2,0.30000000000000426,0.6000000000000085,98.88,,
cellnex,2024-01-18,34.7,34.47,-0.23000000000000398,2,0.25,0.5,99.38,,
cellnex,2024-01-19,35.15,34.72,-0.4299999999999997,2,0.44999999999999574,0.8999999999999915,100.28,,
cellnex,2024-01-22,35.7,35.16,-0.5400000000000063,2,0.5500000000000043,1.1000000000000085,101.38,,
cellnex,2024-01-23,35.2,35.71,0.509999999999998,2,-0.5,-1.0,100.38,,
cellnex,2024-01-24,35.09,35.21,0.11999999999999744,2,-0.10999999999999943,-0.21999999999999886,100.16,,
cellnex,2024-01-25,35.78,35.1,-0.6799999999999997,2,0.6899999999999977,1.3799999999999955,101.54,,
cellnex,2024-01-26,35.61,35.79,0.17999999999999972,2,-0.1700000000000017,-0.3400000000000034,101.2,,
cellnex,2024-01-29,34.75,35.62,0.8699999999999974,2,-0.8599999999999994,-1.7199999999999989,99.48,,
cellnex,2024-01-30,33.86,34.77,0.9100000000000037,2,-0.8900000000000006,-1.7800000000000011,97.7,,
cellnex,2024-01-31,33.8,33.88,0.0800000000000054,2,-0.060000000000002274,-0.12000000000000455,97.58,,
cellnex,2024-02-01,33.2,33.82,0.6199999999999974,3,-0.5999999999999943,-1.799999999999983,95.78,,
cellnex,2024-02-02,33.55,33.22,-0.3299999999999983,2,0.3499999999999943,0.6999999999999886,96.48,,
cellnex,2024-02-05,33.07,33.57,0.5,3,-0.4799999999999969,-1.4399999999999906,95.04,,
cellnex,2024-02-06,33.6,33.09,-0.509999999999998,2,0.5300000000000011,1.0600000000000023,96.1,,
cellnex,2024-02-07,32.48,33.62,1.1400000000000006,3,-1.1200000000000045,-3.3600000000000136,92.74,,
cellnex,2024-02-08,32.96,32.5,-0.46000000000000085,3,0.480000000000004,1.440000000000012,94.18,101.44,101.44
cellnex,2024-02-09,33.33,32.98,-0.3500000000000014,3,0.36999999999999744,1.1099999999999923,95.29,102.55,102.55
cellnex,2024-02-12,33.17,33.35,0.17999999999999972,3,-0.1599999999999966,-0.47999999999998977,94.81,102.07,102.07
cellnex,2024-02-13,33.15,33.19,0.03999999999999915,3,-0.020000000000003126,-0.06000000000000938,94.75,102.01,102.01
cellnex,2024-02-14,33.36,33.17,-0.18999999999999773,2,0.21000000000000085,0.4200000000000017,95.17,102.43,102.43
cellnex,2024-02-15,33.7,33.38,-0.3200000000000003,2,0.3400000000000034,0.6800000000000068,95.85,103.11,103.11
cellnex,2024-02-16,33.99,33.72,-0.2700000000000031,2,0.28999999999999915,0.5799999999999983,96.43,103.69,103.69
cellnex,2024-02-19,34.15,34.01,-0.14000000000000057,2,0.1599999999999966,0.3199999999999932,96.75,104.01,104.01
cellnex,2024-02-20,34.31,34.17,-0.14000000000000057,2,0.1600000000000037,0.3200000000000074,97.07,104.33,104.33
cellnex,2024-02-21,34.38,34.33,-0.05000000000000426,2,0.07000000000000028,0.14000000000000057,97.21,104.47,104.47
cellnex,2024-02-22,33.17,34.4,1.2299999999999969,3,-1.2100000000000009,-3.6300000000000026,93.58,100.84,100.84
cellnex,2024-02-23,33.27,33.19,-0.0800000000000054,3,0.10000000000000142,0.30000000000000426,93.88,101.14,101.14
cellnex,2024-02-26,33.57,33.29,-0.28000000000000114,2,0.29999999999999716,0.5999999999999943,94.48,101.74,101.74
