name,date,do,pred,error,stock,day_gap,money,evolution,opti_real,opti_pred
fluidra,2024-01-02,18.56,18.68,0.120000000000001,5,,,,,
fluidra,2024-01-03,18.36,18.57,0.21000000000000085,5,-0.1999999999999993,-0.9999999999999964,99.0,,
fluidra,2024-01-04,18.31,18.37,0.060000000000002274,5,-0.05000000000000071,-0.25000000000000355,98.75,,
fluidra,2024-01-05,18.8,18.32,-0.4800000000000004,5,0.490000000000002,2.45000000000001,101.2,,102.45
fluidra,2024-01-08,19.15,18.81,-0.33999999999999986,5,0.34999999999999787,1.7499999999999893,102.95,,104.2
fluidra,2024-01-09,18.96,19.16,0.1999999999999993,5,-0.18999999999999773,-0.9499999999999886,102.0,,103.25
fluidra,2024-01-10,18.88,18.97,0.08999999999999986,5,-0.08000000000000185,-0.40000000000000924,101.6,,102.85
fluidra,2024-01-11,18.67,18.89,0.21999999999999886,5,-0.2099999999999973,-1.0499999999999865,100.55,,101.8
fluidra,2024-01-12,18.84,18.68,-0.16000000000000014,5,0.16999999999999815,0.8499999999999908,101.4,,102.65
fluidra,2024-01-15,18.7,18.85,0.15000000000000213,5,-0.14000000000000057,-0.7000000000000028,100.7,,101.95
fluidra,2024-01-16,19.03,18.71,-0.3200000000000003,5,0.33000000000000185,1.6500000000000092,102.35,,103.6
fluidra,2024-01-17,19.15,19.04,-0.10999999999999943,5,0.11999999999999744,0.5999999999999872,102.95,,104.2
fluidra,2024-01-18,19.53,19.16,-0.370000000000001,5,0.38000000000000256,1.9000000000000128,104.85,,106.1
fluidra,2024-01-19,19.5,19.54,0.03999999999999915,5,-0.030000000000001137,-0.15000000000000568,104.7,,105.95
fluidra,2024-01-22,19.46,19.51,0.05000000000000071,5,-0.03999999999999915,-0.19999999999999574,104.5,,105.75
fluidra,2024-01-23,19.45,19.47,0.019999999999999574,5,-0.010000000000001563,-0.050000000000007816,104.45,,105.7
fluidra,2024-01-24,19.86,19.46,-0.3999999999999986,5,0.41000000000000014,2.0500000000000007,106.5,,107.75
fluidra,2024-01-25,20.12,19.87,-0.25,4,0.26000000000000156,1.0400000000000063,107.54,,108.78999999999999
fluidra,2024-01-26,20.0,20.13,0.129999999999999,5,-0.120000000000001,-0.600000000000005,106.94,,108.19
fluidra,2024-01-29,20.2,20.01,-0.18999999999999773,4,0.1999999999999993,0.7999999999999972,107.74,,108.99
fluidra,2024-01-30,20.36,20.21,-0.14999999999999858,4,0.16000000000000014,0.6400000000000006,108.38,,109.63
fluidra,2024-01-31,20.96,20.37,-0.5899999999999999,4,0.6000000000000014,2.4000000000000057,110.78,,112.03
fluidra,2024-02-01,20.58,20.97,0.39000000000000057,4,-0.38000000000000256,-1.5200000000000102,109.26,,110.51
fluidra,2024-02-02,20.62,20.59,-0.030000000000001137,4,0.0400000000000027,0.1600000000000108,109.42,,110.67
fluidra,2024-02-05,20.94,20.63,-0.3100000000000023,4,0.3200000000000003,1.2800000000000011,110.7,,111.95
fluidra,2024-02-06,21.06,20.95,-0.10999999999999943,4,0.11999999999999744,0.47999999999998977,111.18,,112.43
fluidra,2024-02-07,20.76,21.07,0.3099999999999987,4,-0.29999999999999716,-1.1999999999999886,109.98,,111.23
fluidra,2024-02-08,21.06,20.77,-0.28999999999999915,4,0.29999999999999716,1.1999999999999886,111.18,,112.43
fluidra,2024-02-09,20.78,21.07,0.28999999999999915,4,-0.2799999999999976,-1.1199999999999903,110.06,,111.31
fluidra,2024-02-12,21.32,20.79,-0.5300000000000011,4,0.5399999999999991,2.1599999999999966,112.22,,113.47
fluidra,2024-02-13,21.18,21.33,0.14999999999999858,4,-0.14000000000000057,-0.5600000000000023,111.66,,112.91
fluidra,2024-02-14,21.12,21.19,0.07000000000000028,4,-0.05999999999999872,-0.23999999999999488,111.42,,112.67
fluidra,2024-02-15,21.14,21.13,-0.010000000000001563,4,0.019999999999999574,0.0799999999999983,111.5,,112.75
fluidra,2024-02-16,20.92,21.15,0.22999999999999687,4,-0.21999999999999886,-0.8799999999999955,110.62,,111.87
fluidra,2024-02-19,19.97,20.93,0.9600000000000009,5,-0.9500000000000028,-4.750000000000014,105.87,,107.12
fluidra,2024-02-20,19.81,19.98,0.1700000000000017,5,-0.16000000000000014,-0.8000000000000007,105.07,,106.32
fluidra,2024-02-21,19.72,19.82,0.10000000000000142,5,-0.08999999999999986,-0.4499999999999993,104.62,,105.87
fluidra,2024-02-22,19.85,19.73,-0.120000000000001,5,0.13000000000000256,0.6500000000000128,105.27,,106.52
fluidra,2024-02-23,21.56,19.86,-1.6999999999999993,4,1.7099999999999973,6.839999999999989,112.11,106.84,113.36
fluidra,2024-02-26,21.62,21.57,-0.05000000000000071,4,0.060000000000002274,0.2400000000000091,112.35,107.08,113.6
