name,date,do,pred,error,stock,day_gap,money,evolution,opti_real,opti_pred
ree,2024-01-02,14.8,14.91,0.10999999999999943,6,,,,,
ree,2024-01-03,14.92,14.82,-0.09999999999999964,6,0.11999999999999922,0.7199999999999953,100.72,,
ree,2024-01-04,14.79,14.94,0.15000000000000036,6,-0.13000000000000078,-0.7800000000000047,99.94,,
ree,2024-01-05,14.46,14.81,0.34999999999999964,6,-0.3299999999999983,-1.9799999999999898,97.96,,
ree,2024-01-08,15.12,14.49,-0.629999999999999,6,0.6599999999999984,3.95999999999999,101.92,103.96,
ree,2024-01-09,15.12,15.14,0.02000000000000135,6,0.0,0.0,101.92,103.96,
ree,2024-01-10,15.1,15.14,0.040000000000000924,6,-0.019999999999999574,-0.11999999999999744,101.8,103.84,
ree,2024-01-11,14.9,15.12,0.21999999999999886,6,-0.1999999999999993,-1.1999999999999957,100.6,102.64,
ree,2024-01-12,14.82,14.92,0.09999999999999964,6,-0.08000000000000007,-0.4800000000000004,100.12,102.16,
ree,2024-01-15,15.1,14.84,-0.2599999999999998,6,0.27999999999999936,1.6799999999999962,101.8,103.84,
ree,2024-01-16,14.86,15.12,0.2599999999999998,6,-0.2400000000000002,-1.4400000000000013,100.36,102.4,
ree,2024-01-17,15.11,14.88,-0.22999999999999865,6,0.25,1.5,101.86,103.9,
ree,2024-01-18,14.62,15.13,0.5100000000000016,6,-0.4900000000000002,-2.9400000000000013,98.92,100.96,
ree,2024-01-19,14.91,14.65,-0.2599999999999998,6,0.2900000000000009,1.7400000000000055,100.66,102.7,
ree,2024-01-22,14.84,14.93,0.08999999999999986,6,-0.07000000000000028,-0.4200000000000017,100.24,102.28,
ree,2024-01-23,14.96,14.86,-0.10000000000000142,6,0.120000000000001,0.720000000000006,100.96,103.0,
ree,2024-01-24,15.02,14.98,-0.03999999999999915,6,0.05999999999999872,0.3599999999999923,101.32,103.36,
ree,2024-01-25,15.3,15.04,-0.26000000000000156,6,0.28000000000000114,1.6800000000000068,103.0,105.04,
ree,2024-01-26,15.4,15.32,-0.08000000000000007,6,0.09999999999999964,0.5999999999999979,103.6,105.64,
ree,2024-01-29,15.29,15.42,0.13000000000000078,6,-0.11000000000000121,-0.6600000000000072,102.94,104.98,
ree,2024-01-30,15.08,15.31,0.23000000000000043,6,-0.20999999999999908,-1.2599999999999945,101.68,103.72,
ree,2024-01-31,14.74,15.1,0.35999999999999943,6,-0.33999999999999986,-2.039999999999999,99.64,101.68,
ree,2024-02-01,14.82,14.76,-0.0600000000000005,6,0.08000000000000007,0.4800000000000004,100.12,102.16,
ree,2024-02-02,14.35,14.84,0.4900000000000002,6,-0.47000000000000064,-2.820000000000004,97.3,99.34,
ree,2024-02-05,14.54,14.38,-0.15999999999999837,6,0.1899999999999995,1.139999999999997,98.44,100.48,
ree,2024-02-06,14.4,14.57,0.16999999999999993,6,-0.1399999999999988,-0.8399999999999928,97.6,99.64,
ree,2024-02-07,14.5,14.43,-0.07000000000000028,6,0.09999999999999964,0.5999999999999979,98.2,100.24,
ree,2024-02-08,14.44,14.53,0.08999999999999986,6,-0.0600000000000005,-0.360000000000003,97.84,99.88,
ree,2024-02-09,14.14,14.47,0.33000000000000007,7,-0.29999999999999893,-2.0999999999999925,95.74,97.78,
ree,2024-02-12,14.67,14.17,-0.5,6,0.5299999999999994,3.179999999999996,98.92,100.96,103.18
ree,2024-02-13,14.64,14.69,0.049999999999998934,6,-0.02999999999999936,-0.17999999999999616,98.74,100.78,103.0
ree,2024-02-14,14.75,14.66,-0.08999999999999986,6,0.10999999999999943,0.6599999999999966,99.4,101.44,103.66
ree,2024-02-15,15.07,14.77,-0.3000000000000007,6,0.3200000000000003,1.9200000000000017,101.32,103.36,105.58
ree,2024-02-16,14.7,15.09,0.39000000000000057,6,-0.370000000000001,-2.220000000000006,99.1,101.14,103.36
ree,2024-02-19,14.88,14.72,-0.16000000000000014,6,0.1800000000000015,1.080000000000009,100.18,102.22,104.44
ree,2024-02-20,14.68,14.9,0.22000000000000064,6,-0.20000000000000107,-1.2000000000000064,98.98,101.02,103.24
ree,2024-02-21,14.78,14.7,-0.08000000000000007,6,0.09999999999999964,0.5999999999999979,99.58,101.62,103.84
ree,2024-02-22,14.5,14.8,0.3000000000000007,6,-0.27999999999999936,-1.6799999999999962,97.9,99.94,102.16
ree,2024-02-23,14.48,14.53,0.049999999999998934,6,-0.019999999999999574,-0.11999999999999744,97.78,99.82,102.04
ree,2024-02-26,14.86,14.51,-0.34999999999999964,6,0.379999999999999,2.279999999999994,100.06,102.1,104.32
