name,date,do,pred,error,stock,day_gap,money,evolution,opti_real,opti_pred
sabadell,2024-01-02,1.23,1.22,-0.010000000000000009,81,,,,,
sabadell,2024-01-03,1.21,1.23,0.020000000000000018,82,-0.020000000000000018,-1.6400000000000015,98.36,,
sabadell,2024-01-04,1.17,1.21,0.040000000000000036,85,-0.040000000000000036,-3.400000000000003,94.96,,
sabadell,2024-01-05,1.16,1.17,0.010000000000000009,86,-0.010000000000000009,-0.8600000000000008,94.1,,
sabadell,2024-01-08,1.15,1.16,0.010000000000000009,86,-0.010000000000000009,-0.8600000000000008,93.24,,
sabadell,2024-01-09,1.15,1.15,0.0,86,0.0,0.0,93.24,,
sabadell,2024-01-10,1.13,1.15,0.020000000000000018,88,-0.020000000000000018,-1.7600000000000016,91.48,,
sabadell,2024-01-11,1.12,1.13,0.009999999999999787,89,-0.009999999999999787,-0.889999999999981,90.59,,
sabadell,2024-01-12,1.15,1.12,-0.029999999999999805,86,0.029999999999999805,2.579999999999983,93.17,,
sabadell,2024-01-15,1.15,1.15,0.0,86,0.0,0.0,93.17,,
sabadell,2024-01-16,1.17,1.15,-0.020000000000000018,85,0.020000000000000018,1.7000000000000015,94.87,,
sabadell,2024-01-17,1.17,1.17,0.0,85,0.0,0.0,94.87,,
sabadell,2024-01-18,1.19,1.17,-0.020000000000000018,84,0.020000000000000018,1.6800000000000015,96.55,,
sabadell,2024-01-19,1.15,1.19,0.040000000000000036,86,-0.040000000000000036,-3.440000000000003,93.11,,
sabadell,2024-01-22,1.17,1.15,-0.020000000000000018,85,0.020000000000000018,1.7000000000000015,94.81,,
sabadell,2024-01-23,1.17,1.17,0.0,85,0.0,0.0,94.81,,
sabadell,2024-01-24,1.2,1.17,-0.030000000000000027,83,0.030000000000000027,2.490000000000002,97.3,,
sabadell,2024-01-25,1.21,1.2,-0.010000000000000009,82,0.010000000000000009,0.8200000000000007,98.12,,
sabadell,2024-01-26,1.17,1.21,0.040000000000000036,85,-0.040000000000000036,-3.400000000000003,94.72,,
sabadell,2024-01-29,1.17,1.17,0.0,85,0.0,0.0,94.72,,
sabadell,2024-01-30,1.16,1.17,0.010000000000000009,86,-0.010000000000000009,-0.8600000000000008,93.86,,
sabadell,2024-01-31,1.15,1.16,0.010000000000000009,86,-0.010000000000000009,-0.8600000000000008,93.0,,
sabadell,2024-02-01,1.13,1.15,0.020000000000000018,88,-0.020000000000000018,-1.7600000000000016,91.24,,
sabadell,2024-02-02,1.11,1.13,0.019999999999999796,90,-0.019999999999999796,-1.7999999999999816,89.44,,
sabadell,2024-02-05,1.11,1.11,0.0,90,0.0,0.0,89.44,,100.0
sabadell,2024-02-06,1.14,1.11,-0.029999999999999805,87,0.029999999999999805,2.609999999999983,92.05,,102.61
sabadell,2024-02-07,1.18,1.14,-0.040000000000000036,84,0.040000000000000036,3.360000000000003,95.41,103.36,105.97
sabadell,2024-02-08,1.18,1.18,0.0,84,0.0,0.0,95.41,103.36,105.97
sabadell,2024-02-09,1.15,1.18,0.030000000000000027,86,-0.030000000000000027,-2.5800000000000023,92.83,100.78,103.39
sabadell,2024-02-12,1.17,1.15,-0.020000000000000018,85,0.020000000000000018,1.7000000000000015,94.53,102.48,105.09
sabadell,2024-02-13,1.18,1.17,-0.010000000000000009,84,0.010000000000000009,0.8400000000000007,95.37,103.32,105.93
sabadell,2024-02-14,1.18,1.18,0.0,84,0.0,0.0,95.37,103.32,105.93
sabadell,2024-02-15,1.16,1.18,0.020000000000000018,86,-0.020000000000000018,-1.7200000000000015,93.65,101.6,104.21
sabadell,2024-02-16,1.19,1.16,-0.030000000000000027,84,0.030000000000000027,2.5200000000000022,96.17,104.12,106.73
sabadell,2024-02-19,1.19,1.19,0.0,84,0.0,0.0,96.17,104.12,106.73
sabadell,2024-02-20,1.21,1.19,-0.020000000000000018,82,0.020000000000000018,1.6400000000000015,97.81,105.76,108.37
sabadell,2024-02-21,1.23,1.21,-0.020000000000000018,81,0.020000000000000018,1.6200000000000014,99.43,107.38,109.99
sabadell,2024-02-22,1.22,1.23,0.010000000000000009,81,-0.010000000000000009,-0.8100000000000007,98.62,106.57,109.18
sabadell,2024-02-23,1.2,1.22,0.020000000000000018,83,-0.020000000000000018,-1.6600000000000015,96.96,104.91,107.52
sabadell,2024-02-26,1.24,1.2,-0.040000000000000036,80,0.040000000000000036,3.200000000000003,100.16,108.11,110.72
