name,date,do,pred,error,stock,day_gap,money,evolution,opti_real,opti_pred
sacyr,2024-01-02,3.3,3.22,-0.07999999999999963,30,,,,,
sacyr,2024-01-03,3.31,3.3,-0.010000000000000231,30,0.010000000000000231,0.30000000000000693,100.3,,
sacyr,2024-01-04,3.29,3.31,0.020000000000000018,30,-0.020000000000000018,-0.6000000000000005,99.7,,
sacyr,2024-01-05,3.23,3.29,0.06000000000000005,30,-0.06000000000000005,-1.8000000000000016,97.9,,
sacyr,2024-01-08,3.15,3.23,0.08000000000000007,31,-0.08000000000000007,-2.480000000000002,95.42,,
sacyr,2024-01-09,3.15,3.15,0.0,31,0.0,0.0,95.42,,
sacyr,2024-01-10,3.09,3.15,0.06000000000000005,32,-0.06000000000000005,-1.9200000000000017,93.5,,
sacyr,2024-01-11,3.03,3.09,0.06000000000000005,33,-0.06000000000000005,-1.9800000000000018,91.52,,
sacyr,2024-01-12,3.04,3.03,-0.010000000000000231,32,0.010000000000000231,0.3200000000000074,91.84,,
sacyr,2024-01-15,3.07,3.04,-0.029999999999999805,32,0.029999999999999805,0.9599999999999937,92.8,,
sacyr,2024-01-16,3.12,3.07,-0.050000000000000266,32,0.050000000000000266,1.6000000000000085,94.4,,
sacyr,2024-01-17,3.09,3.12,0.03000000000000025,32,-0.03000000000000025,-0.960000000000008,93.44,,
sacyr,2024-01-18,3.12,3.09,-0.03000000000000025,32,0.03000000000000025,0.960000000000008,94.4,,
sacyr,2024-01-19,3.11,3.12,0.010000000000000231,32,-0.010000000000000231,-0.3200000000000074,94.08,,
sacyr,2024-01-22,3.14,3.11,-0.03000000000000025,31,0.03000000000000025,0.9300000000000077,95.01,,
sacyr,2024-01-23,3.04,3.14,0.10000000000000009,32,-0.10000000000000009,-3.200000000000003,91.81,,
sacyr,2024-01-24,3.02,3.04,0.020000000000000018,33,-0.020000000000000018,-0.6600000000000006,91.15,,
sacyr,2024-01-25,3.06,3.02,-0.040000000000000036,32,0.040000000000000036,1.2800000000000011,92.43,,101.28
sacyr,2024-01-26,3.07,3.06,-0.009999999999999787,32,0.009999999999999787,0.3199999999999932,92.75,,101.6
sacyr,2024-01-29,3.07,3.07,0.0,32,0.0,0.0,92.75,,101.6
sacyr,2024-01-30,3.08,3.07,-0.010000000000000231,32,0.010000000000000231,0.3200000000000074,93.07,,101.92
sacyr,2024-01-31,3.15,3.08,-0.06999999999999984,31,0.06999999999999984,2.169999999999995,95.24,102.17,104.09
sacyr,2024-02-01,3.12,3.15,0.029999999999999805,32,-0.029999999999999805,-0.9599999999999937,94.28,101.21,103.13
sacyr,2024-02-02,3.1,3.12,0.020000000000000018,32,-0.020000000000000018,-0.6400000000000006,93.64,100.57,102.49
sacyr,2024-02-05,3.07,3.1,0.03000000000000025,32,-0.03000000000000025,-0.960000000000008,92.68,99.61,101.53
sacyr,2024-02-06,3.13,3.07,-0.06000000000000005,31,0.06000000000000005,1.8600000000000017,94.54,101.47,103.39
sacyr,2024-02-07,3.1,3.13,0.029999999999999805,32,-0.029999999999999805,-0.9599999999999937,93.58,100.51,102.43
sacyr,2024-02-08,3.09,3.1,0.010000000000000231,32,-0.010000000000000231,-0.3200000000000074,93.26,100.19,102.11
sacyr,2024-02-09,3.12,3.09,-0.03000000000000025,32,0.03000000000000025,0.960000000000008,94.22,101.15,103.07
sacyr,2024-02-12,3.08,3.12,0.040000000000000036,32,-0.040000000000000036,-1.2800000000000011,92.94,99.87,101.79
sacyr,2024-02-13,3.07,3.08,0.010000000000000231,32,-0.010000000000000231,-0.3200000000000074,92.62,99.55,101.47
sacyr,2024-02-14,3.07,3.07,0.0,32,0.0,0.0,92.62,99.55,101.47
sacyr,2024-02-15,3.09,3.07,-0.020000000000000018,32,0.020000000000000018,0.6400000000000006,93.26,100.19,102.11
sacyr,2024-02-16,3.08,3.09,0.009999999999999787,32,-0.009999999999999787,-0.3199999999999932,92.94,99.87,101.79
sacyr,2024-02-19,3.05,3.08,0.03000000000000025,32,-0.03000000000000025,-0.960000000000008,91.98,98.91,100.83
sacyr,2024-02-20,3.06,3.05,-0.010000000000000231,32,0.010000000000000231,0.3200000000000074,92.3,99.23,101.15
sacyr,2024-02-21,3.08,3.06,-0.020000000000000018,32,0.020000000000000018,0.6400000000000006,92.94,99.87,101.79
sacyr,2024-02-22,3.03,3.08,0.050000000000000266,33,-0.050000000000000266,-1.6500000000000088,91.28999999999999,98.22,100.14
sacyr,2024-02-23,3.03,3.03,0.0,33,0.0,0.0,91.28999999999999,98.22,100.14
sacyr,2024-02-26,3.05,3.03,-0.020000000000000018,32,0.020000000000000018,0.6400000000000006,91.93,98.86,100.78
