Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,1.849500,1.850000,1.655000,1.661000,1.661000,38696800
2021-01-05,1.642000,1.699500,1.600000,1.657500,1.657500,24855270
2021-01-06,1.683000,1.760000,1.646500,1.750500,1.750500,21294975
2021-01-07,1.757500,1.770000,1.676000,1.737500,1.737500,20918102
2021-01-08,1.764000,1.798000,1.727500,1.734500,1.734500,33522834
2021-01-11,1.725000,1.733500,1.686500,1.700000,1.700000,17922352
2021-01-12,1.720000,1.772000,1.712000,1.762500,1.762500,30800151
2021-01-13,1.768000,1.768500,1.701000,1.712000,1.712000,18309808
2021-01-14,1.720000,1.834000,1.713000,1.823000,1.823000,36712961
2021-01-15,1.815000,1.869500,1.801500,1.822000,1.822000,29214918
2021-01-18,1.801000,1.810000,1.760000,1.809000,1.809000,10436423
2021-01-19,1.833000,1.857000,1.781000,1.790500,1.790500,12099176
2021-01-20,1.844000,1.844000,1.788000,1.818500,1.818500,12540566
2021-01-21,1.830000,1.850000,1.751000,1.767500,1.767500,25261969
2021-01-22,1.740000,1.740000,1.671000,1.702500,1.702500,28885070
2021-01-25,1.680000,1.680000,1.556500,1.581000,1.581000,45119012
2021-01-26,1.572500,1.621500,1.505000,1.587500,1.587500,29285681
2021-01-27,1.590000,1.628500,1.541500,1.574500,1.574500,17012886
2021-01-28,1.550000,1.710000,1.536000,1.651000,1.651000,26413072
2021-01-29,1.624500,1.677000,1.586000,1.614000,1.614000,17965792
2021-02-01,1.650500,1.660000,1.604000,1.610500,1.610500,11471234
2021-02-02,1.635500,1.701500,1.628500,1.696500,1.696500,18808710
2021-02-03,1.720000,1.741000,1.666500,1.684500,1.684500,16487357
2021-02-04,1.702500,1.764000,1.689500,1.750500,1.750500,18102870
2021-02-05,1.760000,1.814500,1.747000,1.800000,1.800000,23834122
2021-02-08,1.790000,1.834500,1.774000,1.818000,1.818000,18569178
2021-02-09,1.820000,1.823500,1.755000,1.756500,1.756500,15781187
2021-02-10,1.761500,1.782000,1.696000,1.709500,1.709500,18008565
2021-02-11,1.702500,1.725000,1.656000,1.702500,1.702500,14212421
2021-02-12,1.680000,1.715000,1.634500,1.712000,1.712000,19255134
2021-02-15,1.749000,1.836000,1.739000,1.825000,1.825000,28999035
2021-02-16,1.840000,1.880000,1.827500,1.856000,1.856000,27884854
2021-02-17,1.860000,1.874500,1.792500,1.828000,1.828000,16174751
2021-02-18,1.840000,1.856500,1.792000,1.822000,1.822000,10090020
2021-02-19,1.835000,1.914500,1.819500,1.908000,1.908000,21957314
2021-02-22,1.910000,2.062000,1.886000,2.057000,2.057000,44291230
2021-02-23,2.112000,2.250000,2.061000,2.102000,2.102000,64292103
2021-02-24,2.154000,2.212000,2.116000,2.197000,2.197000,45104266
2021-02-25,2.250000,2.250000,2.115000,2.165000,2.165000,45776715
2021-02-26,2.101000,2.294000,2.080000,2.227000,2.227000,43492549
2021-03-01,2.315000,2.394000,2.281000,2.382000,2.382000,35955967
2021-03-02,2.391000,2.400000,2.316000,2.346000,2.346000,29626981
2021-03-03,2.380000,2.515000,2.370000,2.514000,2.514000,48863275
2021-03-04,2.491000,2.560000,2.444000,2.515000,2.515000,40295007
2021-03-05,2.460000,2.497000,2.362000,2.370000,2.370000,42441447
2021-03-08,2.420000,2.469000,2.388000,2.446000,2.446000,24713282
2021-03-09,2.480000,2.522000,2.415000,2.451000,2.451000,24296866
2021-03-10,2.460000,2.472000,2.402000,2.412000,2.412000,15271752
2021-03-11,2.430000,2.470000,2.406000,2.470000,2.470000,12681736
2021-03-12,2.470000,2.472000,2.419000,2.465000,2.465000,10654046
2021-03-15,2.493000,2.568000,2.483000,2.530000,2.530000,30371548
2021-03-16,2.557000,2.575000,2.489000,2.520000,2.520000,18111208
2021-03-17,2.525000,2.558000,2.482000,2.530000,2.530000,11838421
2021-03-18,2.550000,2.555000,2.470000,2.513000,2.513000,20109368
2021-03-19,2.470000,2.498000,2.401000,2.418000,2.418000,19371550
2021-03-22,2.334000,2.337000,2.149000,2.285000,2.285000,40179612
2021-03-23,2.240000,2.240000,2.150000,2.175000,2.175000,43573810
2021-03-24,2.150000,2.281000,2.102000,2.262000,2.262000,29493914
2021-03-25,2.279000,2.298000,2.183000,2.259000,2.259000,15439942
2021-03-26,2.298000,2.328000,2.247000,2.295000,2.295000,13570207
2021-03-29,2.297000,2.297000,2.252000,2.254000,2.254000,8901218
2021-03-30,2.279000,2.369000,2.266000,2.358000,2.358000,14639376
2021-03-31,2.352000,2.395000,2.325000,2.337000,2.337000,12241308
2021-04-01,2.337000,2.463000,2.335000,2.458000,2.458000,19855084
2021-04-06,2.507000,2.543000,2.476000,2.500000,2.500000,20070144
2021-04-07,2.525000,2.544000,2.487000,2.520000,2.520000,15264709
2021-04-08,2.536000,2.537000,2.440000,2.483000,2.483000,16266651
2021-04-09,2.490000,2.499000,2.435000,2.435000,2.435000,9451448
2021-04-12,2.471000,2.474000,2.376000,2.386000,2.386000,13234644
2021-04-13,2.380000,2.426000,2.321000,2.341000,2.341000,16860981
2021-04-14,2.322000,2.433000,2.322000,2.408000,2.408000,12299043
2021-04-15,2.428000,2.459000,2.355000,2.389000,2.389000,11844848
2021-04-16,2.403000,2.448000,2.376000,2.404000,2.404000,9423347
2021-04-19,2.421000,2.468000,2.377000,2.436000,2.436000,11620245
2021-04-20,2.436000,2.436000,2.244000,2.247000,2.247000,36071757
2021-04-21,2.299000,2.337000,2.200000,2.251000,2.251000,23623246
2021-04-22,2.301000,2.309000,2.252000,2.305000,2.305000,14014661
2021-04-23,2.306000,2.306000,2.220000,2.266000,2.266000,17392849
2021-04-26,2.302000,2.384000,2.283000,2.355000,2.355000,17732269
2021-04-27,2.360000,2.372000,2.321000,2.350000,2.350000,8621053
2021-04-28,2.374000,2.379000,2.329000,2.335000,2.335000,9385029
2021-04-29,2.335000,2.368000,2.283000,2.309000,2.309000,10459803
2021-04-30,2.300000,2.357000,2.290000,2.315000,2.315000,8492937
2021-05-03,2.347000,2.395000,2.336000,2.381000,2.381000,9999517
2021-05-04,2.400000,2.433000,2.335000,2.345000,2.345000,16026607
2021-05-05,2.396000,2.402000,2.321000,2.360000,2.360000,10235048
2021-05-06,2.378000,2.405000,2.353000,2.383000,2.383000,14730828
2021-05-07,2.400000,2.445000,2.350000,2.444000,2.444000,18101137
2021-05-10,2.471000,2.478000,2.405000,2.444000,2.444000,14811624
2021-05-11,2.380000,2.390000,2.253000,2.268000,2.268000,41834641
2021-05-12,2.269000,2.303000,2.221000,2.254000,2.254000,19833534
2021-05-13,2.234000,2.273000,2.160000,2.240000,2.240000,24411841
