date,d-4,d-3,d-2,d-1,real,cate
2021-01-04,116.7,116.6,119.4,125.9,127.8,2
2021-01-05,116.6,119.4,125.9,127.8,127.8,0
2021-01-06,119.4,125.9,127.8,127.8,127.8,0
2021-01-07,125.9,127.8,127.8,127.8,124.7,1
2021-01-08,127.8,127.8,127.8,124.7,124.8,0
2021-01-09,127.8,127.8,124.7,124.8,126.6,2
2021-01-10,127.8,124.7,124.8,126.6,126.6,0
2021-01-11,124.7,124.8,126.6,126.6,125.2,1
2021-01-12,124.8,126.6,126.6,125.2,125.2,0
2021-01-13,126.6,126.6,125.2,125.2,125.2,0
2021-01-14,126.6,125.2,125.2,125.2,126.8,2
2021-01-15,125.2,125.2,125.2,126.8,129.2,2
2021-01-16,125.2,125.2,126.8,129.2,128.5,0
2021-01-17,125.2,126.8,129.2,128.5,129.5,0
2021-01-18,126.8,129.2,128.5,129.5,128.6,1
2021-01-19,129.2,128.5,129.5,128.6,128.6,0
2021-01-20,128.5,129.5,128.6,128.6,128.6,0
2021-01-21,129.5,128.6,128.6,128.6,129.1,0
2021-01-22,128.6,128.6,128.6,129.1,132.5,2
2021-01-23,128.6,128.6,129.1,132.5,122.9,1
2021-01-24,128.6,129.1,132.5,122.9,126.7,2
2021-01-25,129.1,132.5,122.9,126.7,123.1,1
2021-01-26,132.5,122.9,126.7,123.1,123.1,0
2021-01-27,122.9,126.7,123.1,123.1,123.1,0
2021-01-28,126.7,123.1,123.1,123.1,125.0,2
2021-01-29,123.1,123.1,123.1,125.0,126.1,0
2021-01-30,123.1,123.1,125.0,126.1,127.3,2
2021-01-31,123.1,125.0,126.1,127.3,127.3,0
2021-02-01,125.0,126.1,127.3,127.3,129.5,2
2021-02-02,126.1,127.3,127.3,129.5,129.5,0
2021-02-03,127.3,127.3,129.5,129.5,129.5,0
2021-02-04,127.3,129.5,129.5,129.5,130.6,0
2021-02-05,129.5,129.5,129.5,130.6,125.1,1
2021-02-06,129.5,129.5,130.6,125.1,124.1,1
2021-02-07,129.5,130.6,125.1,124.1,124.5,0
2021-02-08,130.6,125.1,124.1,124.5,122.8,1
2021-02-09,125.1,124.1,124.5,122.8,122.8,0
2021-02-10,124.1,124.5,122.8,122.8,122.8,0
2021-02-11,124.5,122.8,122.8,122.8,124.2,2
2021-02-12,122.8,122.8,122.8,124.2,125.4,2
2021-02-13,122.8,122.8,124.2,125.4,124.7,0
2021-02-14,122.8,124.2,125.4,124.7,138.6,2
2021-02-15,124.2,125.4,124.7,138.6,143.2,2
2021-02-16,125.4,124.7,138.6,143.2,143.2,0
2021-02-17,124.7,138.6,143.2,143.2,143.2,0
2021-02-18,138.6,143.2,143.2,143.2,136.2,1
2021-02-19,143.2,143.2,143.2,136.2,135.5,0
2021-02-20,143.2,143.2,136.2,135.5,134.7,0
2021-02-21,143.2,136.2,135.5,134.7,134.2,0
2021-02-22,136.2,135.5,134.7,134.2,133.3,0
2021-02-23,135.5,134.7,134.2,133.3,133.3,0
2021-02-24,134.7,134.2,133.3,133.3,133.3,0
2021-02-25,134.2,133.3,133.3,133.3,134.7,2
2021-02-26,133.3,133.3,133.3,134.7,133.3,1
2021-02-27,133.3,133.3,134.7,133.3,127.6,1
2021-02-28,133.3,134.7,133.3,127.6,125.7,1
2021-03-01,134.7,133.3,127.6,125.7,126.7,0
2021-03-02,133.3,127.6,125.7,126.7,126.7,0
2021-03-03,127.6,125.7,126.7,126.7,126.7,0
2021-03-04,125.7,126.7,126.7,126.7,125.2,1
2021-03-05,126.7,126.7,126.7,125.2,130.1,2
2021-03-06,126.7,126.7,125.2,130.1,129.1,1
2021-03-07,126.7,125.2,130.1,129.1,132.3,2
2021-03-08,125.2,130.1,129.1,132.3,130.5,1
2021-03-09,130.1,129.1,132.3,130.5,130.5,0
2021-03-10,129.1,132.3,130.5,130.5,130.5,0
2021-03-11,132.3,130.5,130.5,130.5,136.4,2
2021-03-12,130.5,130.5,130.5,136.4,136.4,0
2021-03-13,130.5,130.5,136.4,136.4,135.7,0
2021-03-14,130.5,136.4,136.4,135.7,134.7,1
2021-03-15,136.4,136.4,135.7,134.7,134.9,0
2021-03-16,136.4,135.7,134.7,134.9,134.9,0
2021-03-17,135.7,134.7,134.9,134.9,134.9,0
2021-03-18,134.7,134.9,134.9,134.9,136.9,2
2021-03-19,134.9,134.9,134.9,136.9,137.7,0
2021-03-20,134.9,134.9,136.9,137.7,137.6,0
2021-03-21,134.9,136.9,137.7,137.6,139.0,2
2021-03-22,136.9,137.7,137.6,139.0,140.8,2
2021-03-23,137.7,137.6,139.0,140.8,140.8,0
2021-03-24,137.6,139.0,140.8,140.8,140.8,0
2021-03-25,139.0,140.8,140.8,140.8,141.1,0
2021-03-26,140.8,140.8,140.8,141.1,142.8,2
2021-03-27,140.8,140.8,141.1,142.8,142.6,0
2021-03-28,140.8,141.1,142.8,142.6,143.9,2
2021-03-29,141.1,142.8,142.6,143.9,143.9,0
2021-03-30,142.8,142.6,143.9,143.9,143.9,0
2021-03-31,142.6,143.9,143.9,143.9,143.9,0
2021-04-01,143.9,143.9,143.9,143.9,143.9,0
2021-04-02,143.9,143.9,143.9,143.9,135.8,1
2021-04-03,143.9,143.9,143.9,135.8,138.0,2
2021-04-04,143.9,143.9,135.8,138.0,140.7,2
2021-04-05,143.9,135.8,138.0,140.7,139.6,1
2021-04-06,135.8,138.0,140.7,139.6,139.6,0
2021-04-07,138.0,140.7,139.6,139.6,139.6,0
2021-04-08,140.7,139.6,139.6,139.6,141.1,2
2021-04-09,139.6,139.6,139.6,141.1,140.6,0
2021-04-10,139.6,139.6,141.1,140.6,138.5,1
2021-04-11,139.6,141.1,140.6,138.5,139.3,0
2021-04-12,141.1,140.6,138.5,139.3,140.9,2
2021-04-13,140.6,138.5,139.3,140.9,140.9,0
2021-04-14,138.5,139.3,140.9,140.9,140.9,0
2021-04-15,139.3,140.9,140.9,140.9,140.3,0
2021-04-16,140.9,140.9,140.9,140.3,139.9,0
2021-04-17,140.9,140.9,140.3,139.9,139.4,0
2021-04-18,140.9,140.3,139.9,139.4,143.0,2
2021-04-19,140.3,139.9,139.4,143.0,144.6,2
2021-04-20,139.9,139.4,143.0,144.6,144.6,0
2021-04-21,139.4,143.0,144.6,144.6,144.6,0
2021-04-22,143.0,144.6,144.6,144.6,144.3,0
2021-04-23,144.6,144.6,144.6,144.3,145.8,2
2021-04-24,144.6,144.6,144.3,145.8,144.5,1
2021-04-25,144.6,144.3,145.8,144.5,145.3,0
2021-04-26,144.3,145.8,144.5,145.3,144.7,0
2021-04-27,145.8,144.5,145.3,144.7,144.7,0
2021-04-28,144.5,145.3,144.7,144.7,144.7,0
2021-04-29,145.3,144.7,144.7,144.7,145.2,0
2021-04-30,144.7,144.7,144.7,145.2,138.6,1
2021-05-01,144.7,144.7,145.2,138.6,139.1,0
2021-05-02,144.7,145.2,138.6,139.1,136.0,1
2021-05-03,145.2,138.6,139.1,136.0,139.2,2
2021-05-04,138.6,139.1,136.0,139.2,139.2,0
2021-05-05,139.1,136.0,139.2,139.2,139.2,0
2021-05-06,136.0,139.2,139.2,139.2,139.1,0
2021-05-07,139.2,139.2,139.2,139.1,133.9,1
2021-05-08,139.2,139.2,139.1,133.9,131.2,1
2021-05-09,139.2,139.1,133.9,131.2,131.4,0
2021-05-10,139.1,133.9,131.2,131.4,135.5,2
2021-05-11,133.9,131.2,131.4,135.5,135.5,0
2021-05-12,131.2,131.4,135.5,135.5,135.5,0
2021-05-13,131.4,135.5,135.5,135.5,135.5,0
2021-05-14,135.5,135.5,135.5,135.5,136.7,2
2021-05-15,135.5,135.5,135.5,136.7,136.6,0
2021-05-16,135.5,135.5,136.7,136.6,137.6,0
2021-05-17,135.5,136.7,136.6,137.6,138.9,2
2021-05-18,136.7,136.6,137.6,138.9,138.9,0
2021-05-19,136.6,137.6,138.9,138.9,138.9,0
2021-05-20,137.6,138.9,138.9,138.9,138.9,0
