date,d-4,d-3,d-2,d-1,real,cate
2021-01-04,9.29,9.31,9.54,9.82,9.71,0
2021-01-05,9.31,9.54,9.82,9.71,9.7,0
2021-01-06,9.54,9.82,9.71,9.7,9.78,0
2021-01-07,9.82,9.71,9.7,9.78,9.81,0
2021-01-08,9.71,9.7,9.78,9.81,9.82,0
2021-01-11,9.7,9.78,9.81,9.82,9.42,0
2021-01-12,9.78,9.81,9.82,9.42,9.61,0
2021-01-13,9.81,9.82,9.42,9.61,9.48,0
2021-01-14,9.82,9.42,9.61,9.48,9.57,0
2021-01-15,9.42,9.61,9.48,9.57,9.65,0
2021-01-18,9.61,9.48,9.57,9.65,9.38,0
2021-01-19,9.48,9.57,9.65,9.38,9.2,0
2021-01-20,9.57,9.65,9.38,9.2,9.36,0
2021-01-21,9.65,9.38,9.2,9.36,9.11,0
2021-01-22,9.38,9.2,9.36,9.11,9.35,0
2021-01-25,9.2,9.36,9.11,9.35,9.18,0
2021-01-26,9.36,9.11,9.35,9.18,9.27,0
2021-01-27,9.11,9.35,9.18,9.27,9.47,0
2021-01-28,9.35,9.18,9.27,9.47,9.45,0
2021-01-29,9.18,9.27,9.47,9.45,9.49,0
2021-02-01,9.27,9.47,9.45,9.49,9.65,0
2021-02-02,9.47,9.45,9.49,9.65,9.73,0
2021-02-03,9.45,9.49,9.65,9.73,9.57,0
2021-02-04,9.49,9.65,9.73,9.57,9.65,0
2021-02-05,9.65,9.73,9.57,9.65,9.5,0
2021-02-08,9.73,9.57,9.65,9.5,9.49,0
2021-02-09,9.57,9.65,9.5,9.49,9.74,0
2021-02-10,9.65,9.5,9.49,9.74,9.79,0
2021-02-11,9.5,9.49,9.74,9.79,9.66,0
2021-02-12,9.49,9.74,9.79,9.66,9.59,0
2021-02-15,9.74,9.79,9.66,9.59,9.94,0
2021-02-16,9.79,9.66,9.59,9.94,9.76,0
2021-02-17,9.66,9.59,9.94,9.76,9.74,0
2021-02-18,9.59,9.94,9.76,9.74,9.85,0
2021-02-19,9.94,9.76,9.74,9.85,10.01,0
2021-02-22,9.76,9.74,9.85,10.01,9.64,0
2021-02-23,9.74,9.85,10.01,9.64,10.18,0
2021-02-24,9.85,10.01,9.64,10.18,10.22,0
2021-02-25,10.01,9.64,10.18,10.22,10.1,0
2021-02-26,9.64,10.18,10.22,10.1,9.85,0
2021-03-01,10.18,10.22,10.1,9.85,9.69,0
2021-03-02,10.22,10.1,9.85,9.69,9.99,0
2021-03-03,10.1,9.85,9.69,9.99,10.04,0
2021-03-04,9.85,9.69,9.99,10.04,10.01,0
2021-03-05,9.69,9.99,10.04,10.01,10.15,0
2021-03-08,9.99,10.04,10.01,10.15,10.4,0
2021-03-09,10.04,10.01,10.15,10.4,10.36,0
2021-03-10,10.01,10.15,10.4,10.36,10.38,0
2021-03-11,10.15,10.4,10.36,10.38,10.23,0
2021-03-12,10.4,10.36,10.38,10.23,10.48,0
2021-03-15,10.36,10.38,10.23,10.48,10.43,0
2021-03-16,10.38,10.23,10.48,10.43,10.4,0
2021-03-17,10.23,10.48,10.43,10.4,10.2,0
2021-03-18,10.48,10.43,10.4,10.2,10.51,0
2021-03-19,10.43,10.4,10.2,10.51,10.42,0
2021-03-22,10.4,10.2,10.51,10.42,10.8,0
2021-03-23,10.2,10.51,10.42,10.8,10.77,0
2021-03-24,10.51,10.42,10.8,10.77,11.05,0
2021-03-25,10.42,10.8,10.77,11.05,11.12,0
2021-03-26,10.8,10.77,11.05,11.12,11.04,0
2021-03-29,10.77,11.05,11.12,11.04,11.1,0
2021-03-30,11.05,11.12,11.04,11.1,11.24,0
2021-03-31,11.12,11.04,11.1,11.24,11.29,0
2021-04-01,11.04,11.1,11.24,11.29,11.42,0
2021-04-06,11.1,11.24,11.29,11.42,11.34,0
2021-04-07,11.24,11.29,11.42,11.34,11.65,0
2021-04-08,11.29,11.42,11.34,11.65,11.84,0
2021-04-09,11.42,11.34,11.65,11.84,11.6,0
2021-04-12,11.34,11.65,11.84,11.6,11.76,0
2021-04-13,11.65,11.84,11.6,11.76,11.65,0
2021-04-14,11.84,11.6,11.76,11.65,11.5,0
2021-04-15,11.6,11.76,11.65,11.5,11.57,0
2021-04-16,11.76,11.65,11.5,11.57,11.7,0
2021-04-19,11.65,11.5,11.57,11.7,11.8,0
2021-04-20,11.5,11.57,11.7,11.8,11.92,0
2021-04-21,11.57,11.7,11.8,11.92,11.82,0
2021-04-22,11.7,11.8,11.92,11.82,11.68,0
2021-04-23,11.8,11.92,11.82,11.68,11.68,0
2021-04-26,11.92,11.82,11.68,11.68,11.54,0
2021-04-27,11.82,11.68,11.68,11.54,11.73,0
2021-04-28,11.68,11.68,11.54,11.73,11.58,0
2021-04-29,11.68,11.54,11.73,11.58,11.93,0
2021-04-30,11.54,11.73,11.58,11.93,12.1,0
2021-05-03,11.73,11.58,11.93,12.1,12.2,0
2021-05-04,11.58,11.93,12.1,12.2,12.24,0
2021-05-05,11.93,12.1,12.2,12.24,12.02,0
2021-05-06,12.1,12.2,12.24,12.02,11.94,0
2021-05-07,12.2,12.24,12.02,11.94,11.86,0
2021-05-10,12.24,12.02,11.94,11.86,11.86,0
2021-05-11,12.02,11.94,11.86,11.86,11.95,0
2021-05-12,11.94,11.86,11.86,11.95,11.88,0
2021-05-13,11.86,11.86,11.95,11.88,11.78,0
2021-05-14,11.86,11.95,11.88,11.78,11.73,0
2021-05-17,11.95,11.88,11.78,11.73,11.68,0
2021-05-18,11.88,11.78,11.73,11.68,11.7,0
2021-05-19,11.78,11.73,11.68,11.7,11.62,0
2021-05-20,11.73,11.68,11.7,11.62,11.66,0
2021-05-21,11.68,11.7,11.62,11.66,11.75,0
2021-05-24,11.7,11.62,11.66,11.75,11.7,0
2021-05-25,11.62,11.66,11.75,11.7,11.74,0
2021-05-26,11.66,11.75,11.7,11.74,11.5,0
2021-05-27,11.75,11.7,11.74,11.5,11.52,0
2021-05-28,11.7,11.74,11.5,11.52,11.52,0
2021-05-31,11.74,11.5,11.52,11.52,11.49,0
2021-06-01,11.5,11.52,11.52,11.49,11.51,0
2021-06-02,11.52,11.52,11.49,11.51,11.66,0
2021-06-03,11.52,11.49,11.51,11.66,11.46,0
2021-06-04,11.49,11.51,11.66,11.46,11.46,0
2021-06-07,11.51,11.66,11.46,11.46,11.7,0
2021-06-08,11.66,11.46,11.46,11.7,11.67,0
2021-06-09,11.46,11.46,11.7,11.67,11.35,0
2021-06-10,11.46,11.7,11.67,11.35,11.14,0
2021-06-11,11.7,11.67,11.35,11.14,10.82,0
2021-06-14,11.67,11.35,11.14,10.82,9.73,1
2021-06-15,11.35,11.14,10.82,9.73,9.69,0
2021-06-16,11.14,10.82,9.73,9.69,9.71,0
2021-06-17,10.82,9.73,9.69,9.71,9.88,0
2021-06-18,9.73,9.69,9.71,9.88,9.9,0
2021-06-21,9.69,9.71,9.88,9.9,9.96,0
2021-06-22,9.71,9.88,9.9,9.96,9.95,0
2021-06-23,9.88,9.9,9.96,9.95,10.2,0
2021-06-24,9.9,9.96,9.95,10.2,10.18,0
2021-06-25,9.96,9.95,10.2,10.18,10.32,0
2021-06-28,9.95,10.2,10.18,10.32,10.42,0
2021-06-29,10.2,10.18,10.32,10.42,10.56,0
2021-06-30,10.18,10.32,10.42,10.56,10.2,0
2021-07-01,10.32,10.42,10.56,10.2,10.38,0
2021-07-02,10.42,10.56,10.2,10.38,10.24,0
2021-07-05,10.56,10.2,10.38,10.24,10.62,0
2021-07-06,10.2,10.38,10.24,10.62,10.43,0
2021-07-07,10.38,10.24,10.62,10.43,10.28,0
2021-07-08,10.24,10.62,10.43,10.28,10.44,0
